iteration,Train/mean_reward,Train/mean_episode_length,Train/mean_step_reward,Episode_Termination/time_out,Episode_Termination/fell_over,Metrics/twist/error_vel_xy,Metrics/twist/error_vel_yaw,Loss/value,Loss/surrogate,Loss/entropy,Loss/learning_rate,Loss/kl,Policy/mean_std,Perf/total_fps,Perf/collection_time,Perf/learning_time,Curriculum/action_rate_weight,Curriculum/standing_envs,time_s,env_steps,Episode_Reward/track_linear_velocity,Episode_Reward/track_angular_velocity,Episode_Reward/upright,Episode_Reward/pose,Episode_Reward/action_rate_l2,Episode_Reward/alive,Episode_Reward/air_time,Episode_Reward/single_stance,Episode_Reward/foot_lift,Episode_Reward/foot_alternation,Episode_Reward/foot_symmetry,Episode_Reward/foot_clearance,Episode_Reward/foot_swing_height,Episode_Reward/foot_slip,Episode_Reward/trot,Episode_Reward/joint_torque,Episode_Reward/self_collisions,Episode_Reward/dof_pos_limits,Episode_Reward/body_ang_vel,Episode_Reward/angular_momentum
13,-1.31831,83.6036,-0.0137408,0,7.04167,0.180947,1.40333,0.0190707,-0.0157697,2.42938,0.000197531,0.0172731,0.296051,8533.51,0.836736,0.603235,-0.1,0.02,19.3089,159744,0.0379002,0.0063017,0.0417279,0.0106668,-0.0202557,nan,0.00998047,nan,nan,nan,nan,-0.00416418,-0.0146997,-0.00446385,0.00613018,-0.0338015,-0.000556213,-0.000921412,-0.09976,nan
14,-1.29581,82.0838,-0.0142438,0,7.45833,0.179792,1.36808,0.0193275,-0.0160361,2.41223,0.000197531,0.0164013,0.295694,7766.6,0.833908,0.748251,-0.1,0.02,20.8931,172032,0.0378335,0.00546504,0.0406348,0.0100943,-0.0195655,nan,0.00958994,nan,nan,nan,nan,-0.0040272,-0.0143236,-0.00427072,0.00602235,-0.0331282,-0.000782123,-0.00086247,-0.0974707,nan
15,-1.03173,66.901,-0.014058,0,8.41667,0.175967,1.35048,0.018127,-0.0141556,2.39739,0.000197531,0.0173268,0.295309,7480.39,0.898025,0.744671,-0.1,0.02,22.5382,184320,0.0306442,0.0048122,0.0328335,0.00828447,-0.0158872,nan,0.00721931,nan,nan,nan,nan,-0.00338787,-0.0107656,-0.00350628,0.00518812,-0.0268748,-0.000663366,-0.000734853,-0.0787484,nan
16,-0.974632,63.3369,-0.0116306,0,7.79167,0.167111,1.35518,0.0159492,-0.0148774,2.38197,0.000197531,0.0170286,0.294949,6476.19,1.61344,0.283972,-0.1,0.02,24.4377,196608,0.0296684,0.00479953,0.0306278,0.00785281,-0.0149397,nan,0.00700909,nan,nan,nan,nan,-0.00319727,-0.0097946,-0.00327484,0.00464171,-0.025411,-0.000438503,-0.000682153,-0.0755928,nan
17,-0.866866,66.1376,-0.0120212,0,9.08333,0.163444,1.37485,0.0175628,-0.0145599,2.3646,0.000197531,0.0136042,0.294431,12932.9,0.595762,0.354374,-0.1,0.02,25.3893,208896,0.0369999,0.0049176,0.0322054,0.0083162,-0.0155873,nan,0.00740183,nan,nan,nan,nan,-0.00331352,-0.010716,-0.00347831,0.00518349,-0.026589,-0.000275229,-0.000692292,-0.077716,nan
18,-0.844237,62.9099,-0.0117141,0,9.25,0.161931,1.34096,0.0152796,-0.0133535,2.34138,0.000197531,0.017174,0.293842,13550.5,0.584587,0.322243,-0.1,0.02,26.2977,221184,0.034021,0.00489078,0.0313639,0.00790412,-0.0147835,nan,0.00680495,nan,nan,nan,nan,-0.00301211,-0.00958015,-0.00326265,0.00481081,-0.0252464,-0.000527027,-0.000703549,-0.0748921,nan
19,-0.788405,60.6293,-0.011211,0,8.54167,0.160639,1.33891,0.0152466,-0.015897,2.31693,0.000131687,0.0236807,0.293228,14488.8,0.57692,0.271183,-0.1,0.02,27.1471,233472,0.0345716,0.00485468,0.0297314,0.00744205,-0.0141128,nan,0.00640683,nan,nan,nan,nan,-0.00292599,-0.00951226,-0.00299739,0.00458049,-0.0242542,-0.000634146,-0.000679782,-0.0718907,nan
20,-0.664092,58.4202,-0.00967643,0,7.83333,0.155333,1.30526,0.0152174,-0.014278,2.29521,0.000131687,0.0181349,0.292777,13405.4,0.581289,0.335354,-0.1,0.02,28.0652,245760,0.036365,0.00469577,0.0288986,0.00752339,-0.0135843,nan,0.00636543,nan,nan,nan,nan,-0.00289623,-0.00900048,-0.00302125,0.00467553,-0.0233236,-0.000441489,-0.000633573,-0.0688274,nan
21,-0.669352,59.9803,-0.00953504,0,8.45833,0.158995,1.33146,0.0140733,-0.014748,2.27724,0.000131687,0.017215,0.292399,12442.3,0.650512,0.337085,-0.1,0.02,29.054,258048,0.0372386,0.00476842,0.0301224,0.00764031,-0.0140016,nan,0.00613596,nan,nan,nan,nan,-0.00298522,-0.0091897,-0.00309042,0.00466502,-0.0239946,-0.000482759,-0.000687904,-0.0696061,nan
22,-0.724089,59.75,-0.00921377,0,7.5,0.159274,1.31704,0.0155874,-0.0141518,2.26256,0.000131687,0.0173789,0.292017,12930.3,0.600535,0.349792,-0.1,0.02,30.0056,270336,0.0337416,0.00458438,0.0295863,0.00764163,-0.0138679,nan,0.00642222,nan,nan,nan,nan,-0.0029662,-0.00914059,-0.00301278,0.00531111,-0.0238042,-0.000344444,-0.000668388,-0.0696871,nan
