iteration,Train/mean_reward,Train/mean_episode_length,Train/mean_step_reward,Episode_Termination/time_out,Episode_Termination/fell_over,Metrics/twist/error_vel_xy,Metrics/twist/error_vel_yaw,Loss/value,Loss/surrogate,Loss/entropy,Loss/learning_rate,Loss/kl,Policy/mean_std,Perf/total_fps,Perf/collection_time,Perf/learning_time,Curriculum/action_rate_weight,Curriculum/standing_envs,time_s,env_steps,Episode_Reward/track_linear_velocity,Episode_Reward/track_angular_velocity,Episode_Reward/upright,Episode_Reward/pose,Episode_Reward/action_rate_l2,Episode_Reward/alive,Episode_Reward/air_time,Episode_Reward/foot_clearance,Episode_Reward/foot_slip
18,3.30966,47.8571,0.0689753,0,9.91667,0.23133,0.716586,0.251186,-0.00919107,13.1796,3.90184e-05,0.010949,0.503249,8164.05,1.07593,0.429205,-0.1306,0.02612,26.3579,221184,0.0427306,0.0364925,0.0449139,0.0187862,-0.0567989,0.0957143,-0.0158866,-2.09038e-05,-0.000448139
19,3.40406,49.616,0.0689762,0,10.4167,0.230678,0.72521,0.231515,-0.0096123,13.1796,3.90184e-05,0.00770807,0.503235,8138.57,1.0699,0.439945,-0.1324,0.02648,27.8693,233472,0.0458147,0.0362651,0.0465847,0.019388,-0.0599265,0.099232,-0.016668,-2.17657e-05,-0.000465444
20,3.48215,50.3629,0.0694384,0,10.3333,0.234241,0.714596,0.226668,-0.0111665,13.1784,3.90184e-05,0.0109938,0.503179,8975.95,1.00284,0.366151,-0.1342,0.02684,29.24,245760,0.0462958,0.0368827,0.0473222,0.019756,-0.0612523,0.100726,-0.0151089,-2.15369e-05,-0.000492175
21,3.51654,50.634,0.0698699,0,9.79167,0.22795,0.696583,0.200924,-0.00982986,13.1764,3.90184e-05,0.0145162,0.503132,8704.86,1.02664,0.384984,-0.136,0.0272,30.6532,258048,0.0471267,0.0384388,0.0476164,0.0200774,-0.0619685,0.101268,-0.0162255,-2.02325e-05,-0.000485972
22,3.46217,49.7203,0.0690686,0,9.83333,0.228464,0.71644,0.178089,-0.0099188,13.1748,3.90184e-05,0.00694821,0.503078,8998.3,0.983556,0.382035,-0.1378,0.02756,32.0201,270336,0.0483569,0.0375146,0.0466802,0.0197563,-0.0621023,0.0994407,-0.0160297,-2.15654e-05,-0.000486946
23,3.58741,51.7393,0.0680557,0,9.75,0.231772,0.730711,0.182662,-0.00969619,13.1722,3.90184e-05,0.00919299,0.502985,9430.91,0.878564,0.424385,-0.1396,0.02792,33.3246,282624,0.0496043,0.038952,0.048691,0.0205329,-0.0656357,0.103479,-0.0157009,-2.33803e-05,-0.000528561
24,3.64608,53.106,0.0689244,0,9.04167,0.2241,0.699297,0.165725,-0.0111201,13.1676,3.90184e-05,0.0121981,0.502815,7652.39,1.15831,0.447462,-0.1414,0.02828,34.9321,294912,0.0512735,0.0391985,0.0499072,0.02125,-0.068099,0.106212,-0.0168894,-2.26365e-05,-0.000526198
25,3.78837,55.0717,0.0680739,0,9.29167,0.229871,0.701101,0.185835,-0.0106486,13.1619,3.90184e-05,0.00909424,0.502702,7964.82,1.08672,0.456067,-0.1432,0.02864,36.4764,307200,0.052693,0.0425913,0.0518098,0.021981,-0.0716247,0.110143,-0.0176188,-2.49166e-05,-0.000531575
26,3.82033,56.5446,0.0674448,0,8.875,0.223907,0.713523,0.163266,-0.0106301,13.1582,3.90184e-05,0.00957017,0.502584,10307,0.875703,0.316501,-0.145,0.029,37.6706,319488,0.053059,0.0424891,0.0530827,0.0224828,-0.0745546,0.113089,-0.0180892,-2.47023e-05,-0.000517895
27,3.90561,56.4646,0.0675445,0,9.41667,0.220135,0.696033,0.142898,-0.00953868,13.154,3.90184e-05,0.00777542,0.502483,7927.92,1.11278,0.43719,-0.1468,0.02936,39.2218,331776,0.0571883,0.0428577,0.0527762,0.0223002,-0.075529,0.112929,-0.0167212,-2.08246e-05,-0.000499874
28,3.691,55.4052,0.0671137,0,9.66667,0.221506,0.689926,0.121382,-0.0110457,13.1507,3.90184e-05,0.0164877,0.502392,7625.67,1.21953,0.39187,-0.1486,0.02972,40.8346,344064,0.0516667,0.0415592,0.0516494,0.0218814,-0.0746398,0.11081,-0.0178405,-2.31402e-05,-0.000513876
29,3.79165,55.6089,0.0676955,0,8.41667,0.217998,0.682935,0.124756,-0.0120938,13.1468,3.90184e-05,0.0156987,0.502256,9473.89,0.95219,0.344848,-0.1504,0.03008,42.1335,356352,0.0549979,0.0423757,0.0517715,0.0220402,-0.0761153,0.111218,-0.0161683,-2.23203e-05,-0.000514851
30,3.88966,57.4537,0.0674778,0,8.54167,0.218274,0.669462,0.12449,-0.0105466,13.1418,3.90184e-05,0.00862696,0.502126,8536.13,1.0391,0.400427,-0.1522,0.03044,43.5745,368640,0.056758,0.0436321,0.0534748,0.0228806,-0.0795322,0.114907,-0.0171073,-2.11678e-05,-0.000508974
31,3.91429,57.8361,0.0673629,0,7.625,0.213978,0.681833,0.119828,-0.0113944,13.137,3.90184e-05,0.00838993,0.501988,8572.97,1.02918,0.404161,-0.154,0.0308,45.0093,380928,0.0570808,0.0449413,0.0538196,0.0230509,-0.0814334,0.115672,-0.0168579,-2.30705e-05,-0.000535597
32,4.16064,62.2475,0.0663084,0,8.25,0.222419,0.682876,0.127795,-0.0116504,13.1318,3.90184e-05,0.00713182,0.501838,9412.7,0.986795,0.318676,-0.1558,0.03116,46.3167,393216,0.0592535,0.0482287,0.0581507,0.0246081,-0.0881451,0.124495,-0.0179596,-2.69391e-05,-0.000572626
33,4.27929,64.1368,0.0669874,0,7.91667,0.211857,0.67915,0.122496,-0.0115861,13.1268,3.90184e-05,0.0144879,0.501719,8728.66,0.997987,0.409789,-0.1576,0.03152,47.726,405504,0.061661,0.0506663,0.0599059,0.0256968,-0.0925368,0.128274,-0.0191105,-2.62346e-05,-0.000565555
34,4.42808,67.0395,0.0671027,0,6.33333,0.202887,0.688905,0.116634,-0.0117295,13.1222,3.90184e-05,0.0143175,0.501567,8098.88,1.10356,0.413684,-0.1594,0.03188,49.2453,417792,0.0660128,0.0509356,0.062426,0.0266007,-0.0986678,0.134079,-0.0193816,-2.59176e-05,-0.000574949
