iteration,Train/mean_reward,Train/mean_episode_length,Train/mean_step_reward,Episode_Termination/time_out,Episode_Termination/fell_over,Metrics/twist/error_vel_xy,Metrics/twist/error_vel_yaw,Loss/value,Loss/surrogate,Loss/entropy,Loss/learning_rate,Loss/kl,Policy/mean_std,Perf/total_fps,Perf/collection_time,Perf/learning_time,Curriculum/action_rate_weight,Curriculum/standing_envs,time_s,env_steps,Episode_Reward/track_linear_velocity,Episode_Reward/track_angular_velocity,Episode_Reward/upright,Episode_Reward/pose,Episode_Reward/action_rate_l2,Episode_Reward/alive,Episode_Reward/air_time,Episode_Reward/single_stance,Episode_Reward/foot_lift,Episode_Reward/foot_clearance,Episode_Reward/foot_swing_height,Episode_Reward/foot_slip,Episode_Reward/self_collisions,Episode_Reward/dof_pos_limits,Episode_Reward/body_ang_vel,Episode_Reward/angular_momentum
14,0.525132,37.4517,0.0161213,0,13.375,0.355421,1.70167,0.074042,-0.0118223,24.8425,8.77915e-05,0.0115787,0.961427,10906.6,0.831977,0.294683,-0.1,0.02,14.381,172032,0.0336407,0.013616,0.033638,0.0179719,-0.123707,nan,0.0164486,0.0215234,0.0352868,-0.000668551,-0.00139633,-9.75817e-05,-0.00238629,-0.000992351,-0.0166204,-2.03038e-07
15,0.62474,37.6524,0.0174856,0,13.6667,0.346777,1.67114,0.0775155,-0.0127884,24.8238,8.77915e-05,0.0164818,0.960459,10442.3,0.811765,0.364983,-0.1,0.02,15.5593,184320,0.0337988,0.0138306,0.0341165,0.0180211,-0.123612,nan,0.0172409,0.0214878,0.0378151,-0.000724165,-0.00138002,-9.79892e-05,-0.001875,-0.00105686,-0.0163271,-2.02869e-07
16,0.705082,37.6,0.0196739,0,13.3333,0.351514,1.6781,0.0757672,-0.0117248,24.8062,8.77915e-05,0.0142224,0.959567,12096.6,0.764981,0.250843,-0.1,0.02,16.5767,196608,0.0350902,0.0139723,0.033324,0.0179384,-0.123848,nan,0.01815,0.0222656,0.0399063,-0.000825349,-0.00131572,-9.73185e-05,-0.00211563,-0.0010554,-0.0161351,-2.00657e-07
17,0.761928,38.6195,0.0210453,0,13.25,0.357701,1.68989,0.0685393,-0.0140033,24.7901,8.77915e-05,0.0129738,0.958742,11925.9,0.755469,0.274893,-0.1,0.02,17.6085,208896,0.0345258,0.0139572,0.0341693,0.0174107,-0.126159,nan,0.019434,0.0229214,0.0441088,-0.000887411,-0.00129782,-9.70713e-05,-0.00272642,-0.00124033,-0.0160221,-2.0274e-07
18,0.824274,37.5225,0.0220121,0,13.875,0.356932,1.73378,0.0721625,-0.0140815,24.7747,8.77915e-05,0.0146554,0.95791,11680.6,0.748095,0.303906,-0.1,0.02,18.6619,221184,0.0329166,0.0133256,0.0328568,0.0167572,-0.12186,nan,0.0201261,0.0225225,0.0463448,-0.000937816,-0.00121862,-9.66522e-05,-0.00248949,-0.00128722,-0.0157456,-2.046e-07
19,0.887725,38.0459,0.0238817,0,13.625,0.363679,1.73058,0.070788,-0.0140488,24.7576,8.77915e-05,0.0124228,0.956886,11310.6,0.800374,0.286038,-0.1,0.02,19.7497,233472,0.0340439,0.0135544,0.0331714,0.0168304,-0.124175,nan,0.0216972,0.0229602,0.0489422,-0.00110247,-0.0011892,-9.28263e-05,-0.00283792,-0.00149111,-0.015925,-2.06857e-07
20,0.889847,37.264,0.0275661,0,13.4167,0.366758,1.72012,0.0667415,-0.0129392,24.7383,8.77915e-05,0.0188463,0.955891,11578.2,0.779419,0.281884,-0.1,0.02,20.8126,245760,0.0320385,0.013041,0.0319236,0.0164671,-0.121317,nan,0.0216708,0.0224099,0.0506087,-0.0011402,-0.00111984,-9.24531e-05,-0.00249068,-0.00147374,-0.0160334,-2.06998e-07
21,1.02022,36.8702,0.0300105,0,14.125,0.361491,1.70393,0.0632794,-0.0145105,24.7199,8.77915e-05,0.0166788,0.95496,12198.6,0.749873,0.257453,-0.1,0.02,21.8215,258048,0.0323105,0.0129991,0.0315137,0.0158801,-0.119359,nan,0.0226549,0.0228348,0.0539807,-0.00120722,-0.00102248,-8.67375e-05,-0.00220944,-0.00149255,-0.0157853,-2.10107e-07
22,1.16333,36.8198,0.0328008,0,13.875,0.365121,1.72617,0.0635373,-0.014066,24.7019,8.77915e-05,0.0172227,0.953926,12547.1,0.734039,0.245313,-0.1,0.02,22.8023,270336,0.0325829,0.0129702,0.031911,0.0157745,-0.118909,nan,0.0239099,0.0234895,0.0576741,-0.00134372,-0.00099474,-8.65059e-05,-0.00184384,-0.00153967,-0.015428,-2.06567e-07
23,1.17671,36.9072,0.0313411,0,13.9167,0.377804,1.74431,0.0692678,-0.0130124,24.6829,8.77915e-05,0.0123488,0.952982,11601.5,0.779998,0.279174,-0.1,0.02,23.8629,282624,0.0317444,0.0124838,0.0312801,0.0154877,-0.119081,nan,0.0242515,0.0230958,0.0613786,-0.00135454,-0.000931451,-8.30716e-05,-0.00186228,-0.00149164,-0.0160823,-2.13838e-07
24,1.2536,38.1693,0.0343834,0,13.0417,0.370078,1.73522,0.0692408,-0.0139561,24.665,8.77915e-05,0.0152506,0.952006,11158.4,0.825899,0.275332,-0.1,0.02,24.9656,294912,0.0328119,0.012951,0.0315309,0.0154595,-0.12245,nan,0.0252939,0.0242268,0.0638071,-0.00133332,-0.000988508,-8.97416e-05,-0.00160383,-0.00146009,-0.0154754,-2.08675e-07
25,1.28597,38.8882,0.0340797,0,13.0417,0.371508,1.78058,0.0646183,-0.0130278,24.6459,8.77915e-05,0.0101562,0.950989,12441.4,0.736793,0.250875,-0.1,0.02,25.9546,307200,0.032247,0.0132717,0.0323561,0.0158928,-0.125131,nan,0.0258115,0.0243962,0.0679867,-0.0014517,-0.000997126,-8.78489e-05,-0.00232588,-0.0015644,-0.0161046,-2.20237e-07
26,1.35978,39.9827,0.0354848,0,12.0417,0.370689,1.70914,0.0707042,-0.0131701,24.6281,8.77915e-05,0.0123347,0.950161,12353.7,0.726612,0.268068,-0.1,0.02,26.9507,319488,0.0353021,0.0135182,0.0321411,0.0160776,-0.128534,nan,0.0257024,0.0256851,0.0693999,-0.00151293,-0.00103619,-8.86005e-05,-0.00149827,-0.0017076,-0.0154603,-2.08447e-07
27,1.46613,40.7752,0.0362644,0,12.7917,0.369975,1.67861,0.0698543,-0.0133072,24.6123,8.77915e-05,0.017392,0.949232,12540.6,0.717112,0.262745,-0.1,0.02,27.9319,331776,0.0345452,0.0141588,0.0324956,0.0156879,-0.130954,nan,0.0270586,0.0263518,0.0757086,-0.00153676,-0.00101178,-9.32384e-05,-0.00166775,-0.00185342,-0.0155827,-2.08004e-07
28,1.48419,42.1014,0.0370614,0,11.5,0.36933,1.68538,0.0777811,-0.0137414,24.5933,8.77915e-05,0.0129998,0.948206,11642.6,0.773452,0.281981,-0.1,0.02,28.9888,344064,0.0358829,0.0149983,0.0336142,0.0159116,-0.134994,nan,0.0273261,0.0269565,0.0765408,-0.00139195,-0.0010349,-9.19118e-05,-0.00231522,-0.00167628,-0.015517,-2.10921e-07
29,1.54521,42.9059,0.0373691,0,11.9583,0.373443,1.6711,0.0811507,-0.0140601,24.575,8.77915e-05,0.0127275,0.947333,12172.9,0.753076,0.256383,-0.1,0.02,29.9995,356352,0.0356107,0.0156741,0.0341893,0.0159347,-0.137485,nan,0.0282962,0.027561,0.0798544,-0.0014518,-0.00107199,-9.30705e-05,-0.00216376,-0.00186939,-0.0157249,-2.13505e-07
30,1.60155,42.9672,0.0376451,0,11.4167,0.373963,1.73937,0.0808718,-0.0134112,24.5592,8.77915e-05,0.0156817,0.946519,12500.8,0.702284,0.280695,-0.1,0.02,30.984,368640,0.0370199,0.0157415,0.033978,0.0152271,-0.137086,nan,0.0279088,0.0276168,0.0824835,-0.00150807,-0.000993074,-8.95796e-05,-0.00243796,-0.00184904,-0.0159342,-2.2185e-07
31,1.66068,42.9964,0.0400347,0,11.5417,0.383851,1.73124,0.0795828,-0.0151828,24.5443,8.77915e-05,0.0147127,0.9458,13021.9,0.662152,0.281486,-0.1,0.02,31.929,380928,0.0362439,0.0150169,0.0353291,0.0154938,-0.137522,nan,0.0287653,0.0278195,0.0844725,-0.00158214,-0.00093307,-9.46732e-05,-0.00225632,-0.00187354,-0.0158452,-2.22125e-07
32,1.77004,45.0036,0.0403722,0,11.625,0.381767,1.7264,0.0791509,-0.0141914,24.5297,8.77915e-05,0.0166661,0.944915,10534.9,0.723347,0.443067,-0.1,0.02,33.0967,393216,0.0371726,0.0158977,0.0343391,0.014991,-0.143791,nan,0.0306774,0.0283082,0.0940791,-0.00155995,-0.000959956,-9.61835e-05,-0.00257348,-0.00223375,-0.0157488,-2.14304e-07
33,1.87083,44.7963,0.0443676,0,11.25,0.368909,1.6674,0.0831845,-0.013666,24.5104,8.77915e-05,0.0151069,0.943785,8764.58,1.01258,0.389427,-0.1,0.02,34.5005,405504,0.0378847,0.0162734,0.0344649,0.0150187,-0.143255,nan,0.031,0.0286815,0.0960598,-0.00161985,-0.000927024,-9.03032e-05,-0.00212963,-0.00207343,-0.0157463,-2.22196e-07
34,2.02405,45.954,0.0443759,0,10.875,0.383027,1.69897,0.0933526,-0.0129298,24.4893,8.77915e-05,0.00895995,0.942731,9357.46,0.931387,0.38179,-0.1,0.02,35.8158,417792,0.0392711,0.0173573,0.0342959,0.0143248,-0.146081,nan,0.033,0.0294598,0.102222,-0.00174631,-0.00102691,-9.54786e-05,-0.00128352,-0.0022141,-0.0162813,-2.26792e-07
35,2.03424,47,0.0469788,0,10.4583,0.378749,1.68496,0.0902727,-0.0144966,24.4704,8.77915e-05,0.0128599,0.941824,8269.52,1.02427,0.461669,-0.1,0.02,37.3033,430080,0.0398816,0.0176721,0.0360065,0.0143657,-0.149494,nan,0.0337291,0.0295299,0.102275,-0.00170554,-0.00101832,-9.27751e-05,-0.00184861,-0.0020554,-0.0155329,-2.18931e-07
36,2.2656,46.6098,0.0478241,0,11,0.392783,1.75681,0.0897248,-0.0148986,24.4545,8.77915e-05,0.0109253,0.941068,8851.7,0.950953,0.437255,-0.1,0.02,38.6934,442368,0.0379604,0.0164936,0.0361979,0.0140138,-0.14742,nan,0.0366023,0.0296818,0.112693,-0.00177956,-0.000943381,-9.2181e-05,-0.00177273,-0.002042,-0.0163123,-2.38546e-07
37,2.35093,48.0263,0.0515893,0,9.5,0.37194,1.64288,0.101511,-0.0144539,24.4405,8.77915e-05,0.0143081,0.94036,10048.6,0.851348,0.37151,-0.1,0.02,39.9178,454656,0.0393674,0.0177247,0.0358549,0.0137801,-0.152289,nan,0.0362105,0.0296096,0.120136,-0.00189249,-0.000883807,-9.51501e-05,-0.00174561,-0.00234233,-0.0158884,-2.28541e-07
38,2.43898,48.2258,0.0499738,0,10.3333,0.374311,1.62863,0.111888,-0.0141184,24.4253,8.77915e-05,0.0150435,0.939396,10779.2,0.770101,0.369871,-0.1,0.02,41.0593,466944,0.0406913,0.0177118,0.037272,0.0135228,-0.151802,nan,0.0374516,0.0300726,0.120123,-0.00192406,-0.000859888,-9.17454e-05,-0.00179032,-0.00232034,-0.0161073,-2.36592e-07
39,2.42861,48.2461,0.0522311,0,7.95833,0.362421,1.58164,0.142014,-0.0158648,24.4056,5.85277e-05,0.0208133,0.938366,8587.1,1.05874,0.372248,-0.1,0.02,42.4918,479232,0.0398485,0.0182817,0.0376545,0.0133506,-0.153044,nan,0.037712,0.0299686,0.120461,-0.00181983,-0.000966348,-8.92981e-05,-0.00166492,-0.00243327,-0.0158283,-2.35726e-07
40,2.58384,49.75,0.051174,0,8,0.372433,1.6,0.142411,-0.0130254,24.3904,5.85277e-05,0.00900734,0.937851,9795.51,0.880112,0.37434,-0.1,0.02,43.7481,491520,0.0415114,0.0190497,0.0377604,0.0131351,-0.157337,nan,0.0395469,0.0306719,0.128284,-0.00209208,-0.00086216,-8.84855e-05,-0.00130729,-0.00281501,-0.0162652,-2.43676e-07
41,2.78317,53.6226,0.0546183,0,6.625,0.345861,1.52099,0.150353,-0.0116925,24.3816,5.85277e-05,0.0114968,0.937425,10720,0.822743,0.323521,-0.1,0.02,44.8961,503808,0.0456142,0.019902,0.0401914,0.0132579,-0.16828,nan,0.0443774,0.0299308,0.139931,-0.00202057,-0.00101539,-9.86908e-05,-0.00296855,-0.00346102,-0.0162014,-2.38123e-07
42,3.00858,55.5948,0.0569114,0,6.375,0.338073,1.4571,0.163566,-0.011771,24.3737,5.85277e-05,0.0113359,0.937023,10496.1,0.799705,0.371013,-0.1,0.02,46.0684,516096,0.0469923,0.0220996,0.0397259,0.012787,-0.174093,nan,0.0438235,0.031719,0.152456,-0.00207468,-0.000933544,-9.13348e-05,-0.00236601,-0.00371663,-0.0158978,-2.41072e-07
43,3.34108,59.0504,0.0579963,0,4.95833,0.308488,1.41714,0.164314,-0.0117101,24.366,5.85277e-05,0.0104383,0.936651,10701.4,0.808452,0.339806,-0.1,0.02,47.2183,528384,0.052318,0.0241614,0.0403512,0.0128778,-0.186465,nan,0.0447983,0.0321849,0.172428,-0.00205805,-0.00107051,-9.51836e-05,-0.00269748,-0.00416384,-0.0155152,-2.35456e-07
