iteration,Train/mean_reward,Train/mean_episode_length,Train/mean_step_reward,Episode_Termination/time_out,Episode_Termination/fell_over,Metrics/twist/error_vel_xy,Metrics/twist/error_vel_yaw,Loss/value,Loss/surrogate,Loss/entropy,Loss/learning_rate,Loss/kl,Policy/mean_std,Perf/total_fps,Perf/collection_time,Perf/learning_time,Curriculum/action_rate_weight,Curriculum/standing_envs,time_s,env_steps,Episode_Reward/track_linear_velocity,Episode_Reward/track_angular_velocity,Episode_Reward/upright,Episode_Reward/pose,Episode_Reward/action_rate_l2,Episode_Reward/alive,Episode_Reward/air_time,Episode_Reward/single_stance,Episode_Reward/foot_lift,Episode_Reward/foot_clearance,Episode_Reward/foot_swing_height,Episode_Reward/foot_slip,Episode_Reward/self_collisions,Episode_Reward/dof_pos_limits,Episode_Reward/body_ang_vel,Episode_Reward/angular_momentum
54,3.59316,69.7143,0.0733198,0,0.291667,0.204866,1.05037,0.127588,-0.0087761,24.3095,8.77915e-05,0.00696937,0.933673,10871.6,0.767033,0.363255,-0.1,0.02,58.9962,663552,0.0564787,0.0266836,0.0298303,0.00905962,-0.209106,nan,0.048,0.0348571,0.218453,-0.00293931,-0.00179728,-0.000109138,-0.000285714,-0.00802665,-0.0214402,-2.64295e-07
55,2.43567,50.75,0.0744497,0,0.166667,0.201891,1.04022,0.108429,-0.0101389,24.3005,8.77915e-05,0.0130801,0.933155,10764.9,0.658324,0.483165,-0.1,0.02,60.1391,675840,0.0416528,0.0205313,0.0312698,0.0107566,-0.154519,nan,0.02775,0.04475,0.118125,-0.00139748,-0.00136937,-0.000103958,0,-0.001951,-0.0137115,-1.89664e-07
56,2.76747,47.3333,0.0764568,0,0.125,0.197774,1.04706,0.10927,-0.00706134,24.2899,8.77915e-05,0.0114114,0.932556,10958,0.778054,0.343322,-0.1,0.02,61.2634,688128,0.0402924,0.0169651,0.0368207,0.00581343,-0.149624,nan,0.037,0.0286667,0.147656,-0.00307468,-0.00127372,-9.80095e-05,0,-0.00489923,-0.0158705,-2.04439e-07
57,1.67003,34,0.0754127,0,0.0416667,0.194551,1.04621,0.100982,-0.0107325,24.2776,8.77915e-05,0.0102162,0.931923,9451.02,0.941393,0.358784,-0.1,0.02,62.5651,700416,0.0195277,0.00787413,0.037846,0.00695112,-0.100323,nan,0.03,0.019,0.0870685,-0.00338798,-0.000418218,-4.28922e-05,0,-0.00398093,-0.0166126,-3.23587e-07
58,12.4158,152.5,0.0772445,0,0.0833333,0.191638,1.04883,0.116293,-0.00807976,24.2659,8.77915e-05,0.0105438,0.93134,12744,0.631026,0.333195,-0.1,0.02,63.531,712704,0.220871,0.0917878,0.0516094,0.0103169,-0.465534,nan,0.0945,0.0355,0.628789,-0.00260154,-0.0010072,-5.72249e-05,0,-0.0240706,-0.0193124,-2.44429e-07
59,2.19876,193,0.078362,0,0.0416667,0.192908,1.02626,0.0942717,-0.00645275,24.2546,8.77915e-05,0.00595604,0.930718,11875.2,0.71386,0.320901,-0.1,0.02,64.5673,724992,0.170992,0.133118,0.0385436,0.00932309,-0.606341,nan,0.153,0.103,0.201824,-0.00177996,-0.00879506,-0.000385109,-0.015,-0.0464006,-0.0211601,-1.58214e-07
60,33.9755,421,0.0778889,0,0.0833333,0.193646,1.02211,0.105495,-0.00729157,24.242,5.85277e-05,0.021957,0.93009,10730.7,0.754577,0.390546,-0.1,0.02,65.7139,737280,0.580556,0.284456,0.0366688,0.0106187,-1.33764,nan,0.2085,0.0605,1.97741,-0.00560283,-0.0039132,-0.000198702,-0.0075,-0.0745486,-0.0305296,-3.75312e-07
61,8.67576,182,0.0784785,0,0.166667,0.194772,1.0321,0.0876387,-0.00691094,24.2323,5.85277e-05,0.00954102,0.92969,10728,0.804539,0.340875,-0.1,0.02,66.8611,749568,0.167117,0.108394,0.0452736,0.0072529,-0.567245,nan,0.0945,0.04875,0.597893,-0.00500042,-0.00385178,-0.000139766,-0.0015,-0.0348815,-0.022773,-3.18718e-07
62,28.0535,325,0.0784232,0,0.125,0.194675,1.00559,0.120057,-0.00718284,24.2245,5.85277e-05,0.00507708,0.929322,11860.6,0.670401,0.365632,-0.1,0.02,67.8987,761856,0.466389,0.224842,0.0438036,0.00965215,-1.02826,nan,0.171,0.048,1.56414,-0.00489189,-0.00309512,-0.00010753,0,-0.0606099,-0.028183,-3.83835e-07
63,19.9207,311,0.0781394,0,0.125,0.196308,1.02106,0.126357,-0.00807397,24.2175,5.85277e-05,0.00854826,0.928915,11590,0.680523,0.379701,-0.1,0.02,68.9606,774144,0.421885,0.202142,0.0363768,0.0102639,-0.975448,nan,0.146,0.0403333,1.19662,-0.00516541,-0.00211325,-0.00012676,-0.000666667,-0.0467945,-0.0272695,-4.08576e-07
64,29.9869,465.833,0.0786277,0,0.25,0.197166,1.00476,0.180629,-0.00852382,24.2095,5.85277e-05,0.0069683,0.928553,12136.2,0.680834,0.331674,-0.1,0.02,69.9745,786432,0.593174,0.309862,0.049973,0.0126404,-1.46266,nan,0.2145,0.0618333,1.8575,-0.00704187,-0.00476332,-0.000194385,-0.00616667,-0.0844533,-0.0348564,-4.4065e-07
65,27.3992,364.8,0.0780327,0,0.208333,0.195832,1.01205,0.137573,-0.00881676,24.203,5.85277e-05,0.0119875,0.928214,11981.4,0.6912,0.334392,-0.1,0.02,71.0013,798720,0.566546,0.23758,0.0384098,0.00863778,-1.14026,nan,0.1332,0.0434,1.58748,-0.00589236,-0.00244427,-0.000146019,-0.0062,-0.0615058,-0.0288475,-3.90943e-07
66,1.47964,30,0.0792507,0,0.0416667,0.197876,0.988562,0.0926015,-0.00822136,24.196,5.85277e-05,0.00517749,0.927815,12502.2,0.637843,0.345025,-0.1,0.02,71.9855,811008,0.013408,0.00809012,0.0315794,0.0040702,-0.090743,nan,0.027,0.018,0.0860153,-0.00280692,-0.000693682,-2.22149e-05,0,-0.00216379,-0.0177512,-3.05176e-07
67,2.47692,38,0.0791884,0,0.0416667,0.194279,0.97308,0.0817067,-0.00788215,24.1876,5.85277e-05,0.00838939,0.927362,11533.1,0.686862,0.378593,-0.1,0.02,73.0523,823296,0.0358159,0.016195,0.0248469,0.00874114,-0.124721,nan,0.048,0.015,0.121041,-0.00199093,-0.000591199,-8.38551e-05,0,-0.00630273,-0.0121041,-1.82982e-07
68,nan,nan,0.079068,0,0,0.193589,0.962229,0.0794855,-0.00903023,24.1785,5.85277e-05,0.00825835,0.926862,10786.8,0.737658,0.401514,-0.1,0.02,74.1931,835584,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
69,3.45966,125,0.0799742,0,0.0416667,0.19151,0.939612,0.0755141,-0.00765093,24.1684,5.85277e-05,0.00757164,0.92634,12501.7,0.689018,0.293889,-0.1,0.02,75.1775,847872,0.140693,0.0703522,0.0439072,0.00623387,-0.371941,nan,0.066,0.089,0.176358,-0.00261427,-0.00672411,-0.000249909,0,-0.0224039,-0.0156272,-1.95364e-07
70,nan,nan,0.0802688,0,0,0.192512,0.934503,0.0698989,-0.00733467,24.1577,5.85277e-05,0.0070311,0.925725,13045.5,0.596424,0.345509,-0.1,0.02,76.1207,860160,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
71,nan,nan,0.0808161,0,0,0.19413,0.929179,0.0699946,-0.00800316,24.1455,5.85277e-05,0.00659984,0.925141,11327.7,0.735816,0.348954,-0.1,0.02,77.2069,872448,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
72,42.1963,1000,0.0812241,0.0416667,0,0.192649,0.920333,0.0713681,-0.00645259,24.1342,5.85277e-05,0.00934333,0.924528,12663.3,0.6427,0.327664,-0.1,0.02,78.1786,884736,1.38018,0.689209,0.0424976,0.0181701,-3.14042,nan,0.351,0.167,2.93561,-0.0122731,-0.0146769,-0.000562154,-0.02,-0.216421,-0.0695004,-7.1929e-07
73,nan,nan,0.0806593,0,0,0.192383,0.9397,0.0667101,-0.0067993,24.122,5.85277e-05,0.00984625,0.923892,12446.4,0.6287,0.358577,-0.1,0.02,79.1673,897024,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
74,nan,nan,0.0809807,0,0,0.193277,0.920237,0.0689932,-0.00713341,24.1098,5.85277e-05,0.00842637,0.923303,10904.4,0.772541,0.35434,-0.1,0.02,80.2958,909312,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
75,43.3795,766.25,0.0811637,0.125,0.0416667,0.192219,0.91539,0.0903814,-0.00734192,24.0992,5.85277e-05,0.00546837,0.922814,11248.4,0.744232,0.348192,-0.1,0.02,81.3899,921600,1.08814,0.511326,0.0381786,0.0123677,-2.40605,nan,0.2625,0.113,2.82325,-0.0105312,-0.008685,-0.000364181,-0.05025,-0.153226,-0.0506824,-5.94932e-07
76,56.5127,1000,0.0808185,0.333333,0,0.194074,0.939768,0.0751349,-0.00823799,24.0897,5.85277e-05,0.00815425,0.922298,12220.2,0.692209,0.313342,-0.1,0.02,82.3969,933888,1.37056,0.69921,0.0390921,0.0126772,-3.14722,nan,0.2805,0.089625,3.79547,-0.0109103,-0.00722153,-0.000328878,-0.019625,-0.215968,-0.0602229,-6.9301e-07
77,64.0856,926.846,0.0812042,0.5,0.0416667,0.19357,0.931461,0.0816795,-0.0081116,24.0789,5.85277e-05,0.00777982,0.921698,11196.6,0.701048,0.396432,-0.1,0.02,83.4957,946176,1.18003,0.654003,0.0463504,0.0147344,-2.89094,nan,0.298385,0.107385,4.08215,-0.0126659,-0.00861956,-0.000328997,-0.0168462,-0.193713,-0.0556313,-6.90042e-07
78,65.2305,903.5,0.082027,0.375,0.0416667,0.198323,0.973996,0.0929777,-0.00824844,24.0675,5.85277e-05,0.00573639,0.92119,11722.1,0.667158,0.381117,-0.1,0.02,84.5461,958464,1.1761,0.61461,0.0379436,0.0116012,-2.81436,nan,0.3177,0.0831,4.11826,-0.0125843,-0.00715733,-0.000305464,-0.0185,-0.19242,-0.0524577,-6.81555e-07
79,56.953,807.8,0.0826297,0.666667,0.166667,0.197163,0.950123,0.1313,-0.00642945,24.0594,5.85277e-05,0.0086715,0.920891,8902.15,0.848235,0.532106,-0.1,0.02,85.9282,970752,1.03013,0.545356,0.040388,0.0104079,-2.50627,nan,0.2229,0.0708,3.69587,-0.0106849,-0.00598362,-0.000232755,-0.02255,-0.174626,-0.0478539,-5.989e-07
80,61.9678,850.6,0.081511,1.16667,0.291667,0.201211,0.975535,0.233654,-0.00821344,24.0546,5.85277e-05,0.0109905,0.920655,11833.3,0.724535,0.313892,-0.1,0.02,86.9687,983040,1.11718,0.592424,0.0409801,0.0123766,-2.64061,nan,0.252,0.0702286,3.91267,-0.0110663,-0.00565084,-0.00023541,-0.00982857,-0.182364,-0.0497025,-6.46106e-07
81,63.7029,835.167,0.0814122,1.125,0.375,0.211922,0.996756,0.253996,-0.00736021,24.0503,5.85277e-05,0.00797554,0.920469,11972.8,0.69204,0.334288,-0.1,0.02,87.9963,995328,1.07266,0.590603,0.040762,0.0110597,-2.59144,nan,0.256083,0.0605556,3.99847,-0.0117141,-0.00465809,-0.00019936,-0.0103333,-0.177925,-0.0487798,-6.4674e-07
82,59.3905,808.709,0.0792767,1.83333,0.458333,0.22024,1.02743,0.247871,-0.00743374,24.0469,5.85277e-05,0.00781181,0.920283,10565.9,0.757888,0.405098,-0.1,0.02,89.1609,1.00762e+06,1.06085,0.578561,0.04224,0.0106761,-2.51263,nan,0.218018,0.0590545,3.75811,-0.0107583,-0.00457777,-0.00019101,-0.00765455,-0.176066,-0.0461064,-6.12232e-07
83,58.1875,754.744,0.0791821,1.20833,0.416667,0.233192,1.03585,0.247692,-0.00649232,24.0434,5.85277e-05,0.00912557,0.920164,11813,0.69201,0.348204,-0.1,0.02,90.2026,1.0199e+06,0.984221,0.5284,0.0405372,0.0102014,-2.34453,nan,0.192692,0.0501282,3.67787,-0.0106651,-0.00383924,-0.000171908,-0.00684615,-0.166092,-0.0425315,-5.87547e-07
84,66.4599,875.639,0.0795522,2.20833,0.333333,0.234239,1.04321,0.22757,-0.00753897,24.0415,5.85277e-05,0.0124074,0.920058,11886.7,0.671142,0.362621,-0.1,0.02,91.2377,1.03219e+06,1.12135,0.620041,0.0412907,0.0103319,-2.71096,nan,0.19982,0.0462951,4.26735,-0.0126544,-0.00365639,-0.000176256,-0.0108525,-0.196936,-0.0482494,-6.41827e-07
85,57.642,765.263,0.0775301,1.79167,0.583333,0.241866,1.04533,0.284757,-0.00825071,24.0394,5.85277e-05,0.0110663,0.919954,11488.3,0.724187,0.345427,-0.1,0.02,92.3087,1.04448e+06,1.017,0.548336,0.0377465,0.00995216,-2.36583,nan,0.167947,0.046193,3.6582,-0.0108293,-0.00352551,-0.000151337,-0.00731579,-0.17309,-0.0425274,-5.81896e-07
86,69.3828,888.088,0.078453,1.25,0.166667,0.242657,1.03491,0.22853,-0.0082066,24.0371,5.85277e-05,0.00997101,0.919815,11981,0.701894,0.323731,-0.1,0.02,93.3359,1.05677e+06,1.15711,0.641291,0.0412912,0.0103042,-2.75526,nan,0.186706,0.0448235,4.41944,-0.0123222,-0.00365018,-0.00014634,-0.0103529,-0.203143,-0.0469566,-6.34723e-07
87,58.9441,743.679,0.0784081,1.70833,0.625,0.230592,1.0189,0.237653,-0.0091692,24.0339,5.85277e-05,0.0116174,0.919638,11426.2,0.785543,0.289883,-0.1,0.02,94.4127,1.06906e+06,0.972809,0.531655,0.0393668,0.00873769,-2.29464,nan,0.142982,0.0372679,3.74591,-0.0112401,-0.00320354,-0.000132301,-0.007125,-0.174439,-0.0407471,-5.73159e-07
88,61.2926,774.176,0.0779932,1.625,0.5,0.238473,1.02887,0.264239,-0.0102444,24.0301,5.85277e-05,0.00642465,0.919421,11676.2,0.686926,0.365471,-0.1,0.02,95.4666,1.08134e+06,1.04305,0.55429,0.0372318,0.00868112,-2.3814,nan,0.144294,0.0370196,3.86629,-0.0113014,-0.00277796,-0.00012777,-0.0044902,-0.184041,-0.042089,-5.81889e-07
89,55.0689,682.333,0.0797696,0.916667,0.458333,0.236008,1.01576,0.269811,-0.00899538,24.0265,5.85277e-05,0.0102558,0.919318,11460.4,0.733677,0.338541,-0.1,0.02,96.5405,1.09363e+06,0.925512,0.491754,0.0378982,0.006876,-2.10078,nan,0.136909,0.0361818,3.43693,-0.0103025,-0.00269871,-0.000124627,-0.00378788,-0.162082,-0.0388474,-5.33153e-07
90,61.4729,744.556,0.0791579,1.375,0.5,0.225712,0.989758,0.210598,-0.00884206,24.024,5.85277e-05,0.00621536,0.919073,11640.5,0.742275,0.313353,-0.1,0.02,97.5976,1.10592e+06,0.960452,0.558017,0.0380845,0.00769452,-2.29307,nan,0.1188,0.0361111,3.88789,-0.0114235,-0.00259656,-0.00010396,-0.00413333,-0.181941,-0.040138,-5.61818e-07
91,50.8103,622.217,0.080177,0.583333,0.375,0.232767,1.00044,0.332461,-0.00915299,24.0186,5.85277e-05,0.0100662,0.918846,13241.2,0.590207,0.337809,-0.1,0.02,98.5269,1.11821e+06,0.821364,0.436386,0.0359384,0.00781624,-1.91944,nan,0.112043,0.0362609,3.21855,-0.0101931,-0.00267622,-0.000115729,-0.00404348,-0.155227,-0.0361508,-5.00415e-07
92,55.2037,629.269,0.0810138,0.666667,0.416667,0.215558,0.98083,0.219928,-0.00968501,24.0144,5.85277e-05,0.0073246,0.91862,12499.5,0.632371,0.35071,-0.1,0.02,99.5117,1.1305e+06,0.836501,0.468295,0.0342421,0.00686352,-1.92851,nan,0.0888462,0.0275769,3.43961,-0.0103786,-0.00192791,-8.03107e-05,-0.00638462,-0.158989,-0.035477,-5.02877e-07
93,54.9667,679,0.0824009,0.166667,0.0833333,0.215708,0.942743,0.12195,-0.00891803,24.0097,5.85277e-05,0.00709943,0.918366,12232.4,0.665872,0.338677,-0.1,0.02,100.518,1.14278e+06,0.791828,0.515652,0.03703,0.00670328,-2.08172,nan,0.0815,0.0276667,3.60543,-0.0108979,-0.00193419,-8.59965e-05,-0.008,-0.180354,-0.0344811,-5.01304e-07
94,59.3985,680.556,0.0824757,0.25,0.125,0.200593,0.9207,0.0997726,-0.00938156,24.003,5.85277e-05,0.0113752,0.917881,13858.3,0.606408,0.280283,-0.1,0.02,101.406,1.15507e+06,0.931658,0.555516,0.0356614,0.00662645,-2.09762,nan,0.0836667,0.029,3.64771,-0.0119981,-0.00171661,-0.000108161,-0.00211111,-0.171507,-0.0348601,-5.00911e-07
95,88.2774,1000,0.0840684,0.0416667,0,0.200683,0.895074,0.0818861,-0.00952754,23.9914,5.85277e-05,0.0101091,0.917223,11749.3,0.698188,0.347661,-0.1,0.02,102.453,1.16736e+06,1.20913,0.658017,0.0372978,0.00682069,-3.00305,nan,0.12,0.025,5.68846,-0.0108753,-0.002679,-0.000143573,0,-0.266665,-0.0474461,-6.47757e-07
96,51.3555,728.143,0.084537,0.208333,0.0833333,0.196964,0.895679,0.0634043,-0.00769952,23.9777,5.85277e-05,0.00589201,0.916473,11969.5,0.64142,0.385191,-0.1,0.02,103.481,1.17965e+06,1.0452,0.549352,0.0308773,0.00632981,-2.22842,nan,0.0964286,0.0262857,3.28353,-0.0111224,-0.00207728,-0.000121011,-0.00485714,-0.185708,-0.0379131,-5.42755e-07
97,75.6969,1000,0.0837439,0.0833333,0,0.199009,0.877528,0.0618048,-0.00788443,23.9624,5.85277e-05,0.00843566,0.915671,12137.2,0.699028,0.313399,-0.1,0.02,104.495,1.19194e+06,1.40682,0.72026,0.0351129,0.00929106,-3.07858,nan,0.0885,0.0295,4.91638,-0.0168057,-0.0020324,-0.000119264,-0.002,-0.273782,-0.0476997,-6.25541e-07
98,47.4215,522,0.0834937,0.0833333,0.0833333,0.198708,0.886706,0.0718979,-0.00795988,23.9468,8.77915e-05,0.00462145,0.914905,12181,0.667877,0.340909,-0.1,0.02,105.505,1.20422e+06,0.727014,0.371202,0.0310108,0.0050842,-1.61527,nan,0.06,0.02225,2.9535,-0.00976919,-0.000933185,-6.78058e-05,-0.001,-0.143968,-0.0279751,-4.08624e-07
99,nan,nan,0.0852603,0,0,0.197737,0.868555,0.0585827,-0.00763612,23.9292,8.77915e-05,0.0071848,0.913838,11715.5,0.698751,0.350115,-0.1,0.02,106.556,1.21651e+06,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
100,88.1389,1000,0.0854808,0.0833333,0,0.196497,0.846987,0.0513417,-0.00912671,23.9075,8.77915e-05,0.0125313,0.912741,12368.5,0.637584,0.355905,-0.1,0.02,107.551,1.2288e+06,1.41938,0.729567,0.0298291,0.00574598,-3.06127,nan,0.108,0.0315,5.47141,-0.0127152,-0.00221821,-0.000110372,0,-0.267124,-0.045047,-6.79369e-07
101,48.5411,519,0.0870181,0.0416667,0.0416667,0.194982,0.847334,0.060236,-0.00721071,23.888,8.77915e-05,0.00643632,0.911902,15170.6,0.543458,0.266527,-0.1,0.02,110.69,1.24109e+06,0.787948,0.348033,0.0437423,0.00643848,-1.58199,nan,0.0645,0.029,2.9169,-0.00912095,-0.00196603,-9.24966e-05,-0.0085,-0.141122,-0.026708,-4.16107e-07
102,nan,nan,0.0871072,0,0,0.197748,0.865332,0.0437342,-0.00679305,23.871,8.77915e-05,0.00763105,0.910921,16098.9,0.507012,0.256269,-0.1,0.02,111.455,1.25338e+06,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
103,76.6067,1000,0.0868068,0.0833333,0,0.196764,0.86336,0.0457037,-0.00842939,23.8496,8.77915e-05,0.00668955,0.909747,15459.2,0.536521,0.258347,-0.1,0.02,112.251,1.26566e+06,1.33454,0.747353,0.051216,0.0122747,-3.03477,nan,0.0885,0.0435,4.93708,-0.0138995,-0.00259438,-0.00015827,-0.007,-0.28281,-0.0428902,-5.88952e-07
104,92.6014,1000,0.0869212,0.0833333,0,0.197612,0.877743,0.0450336,-0.00864363,23.8254,8.77915e-05,0.00820028,0.90849,16389.2,0.497232,0.252531,-0.1,0.02,113.002,1.27795e+06,1.41465,0.708518,0.0350351,0.0104583,-3.07593,nan,0.072,0.03,5.8038,-0.0168816,-0.00162542,-6.81196e-05,-0.014,-0.294355,-0.0415276,-6.40932e-07
105,44.11,532.5,0.0872805,0.0416667,0.0416667,0.19774,0.873455,0.0589522,-0.00690604,23.801,8.77915e-05,0.00994198,0.907336,16474.8,0.486331,0.259533,-0.1,0.02,113.749,1.29024e+06,0.6632,0.383612,0.0267421,0.00475209,-1.65564,nan,0.0975,0.0315,2.86809,-0.00993403,-0.00219668,-0.000100562,-0.0045,-0.165835,-0.0316828,-4.11816e-07
106,87.8589,1000,0.0869884,0.25,0,0.198309,0.86342,0.0555915,-0.00930933,23.7793,8.77915e-05,0.0150878,0.906263,13133.1,0.584766,0.350887,-0.1,0.02,114.686,1.30253e+06,1.30969,0.744901,0.0351511,0.00625247,-2.98341,nan,0.073,0.024,5.53427,-0.0186569,-0.00190593,-9.81541e-05,-0.00183333,-0.283028,-0.0453832,-6.59893e-07
107,36.9372,520.5,0.0869367,0.0833333,0.0833333,0.203787,0.881405,0.0888055,-0.00980074,23.7572,8.77915e-05,0.0103542,0.905125,12589.4,0.685579,0.290482,-0.1,0.02,115.663,1.31482e+06,0.674613,0.379529,0.0298299,0.0084079,-1.5596,nan,0.0735,0.03225,2.39705,-0.0083863,-0.00146102,-0.00010109,-0.005,-0.14387,-0.0299031,-4.08932e-07
108,94.5035,1000,0.0884983,0.0833333,0,0.201134,0.883601,0.0645715,-0.0100402,23.7359,8.77915e-05,0.00977289,0.904185,14960.7,0.564412,0.256938,-0.1,0.02,116.486,1.3271e+06,1.35751,0.817658,0.034636,0.00446092,-3.05521,nan,0.096,0.0245,5.80576,-0.0201176,-0.00245086,-8.13977e-05,-0.0005,-0.293433,-0.0435572,-6.74215e-07
109,2.3588,60,0.0881806,0,0.0416667,0.198689,0.873034,0.0500107,-0.00928196,23.7182,8.77915e-05,0.00934883,0.903269,15898.7,0.515468,0.257424,-0.1,0.02,117.26,1.33939e+06,0.0245666,0.0237842,0.0287997,0.00780592,-0.183117,nan,0.054,0.021,0.188812,-0.003378,-0.000950345,-0.000148678,-0.009,-0.0175559,-0.016678,-1.6846e-07
110,nan,nan,0.0894307,0,0,0.193802,0.856879,0.0465426,-0.00824442,23.699,8.77915e-05,0.00973273,0.902331,16084,0.512951,0.251036,-0.1,0.02,118.025,1.35168e+06,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
111,55.0525,1000,0.0895727,0.0416667,0,0.192113,0.845932,0.0393094,-0.00712516,23.68,8.77915e-05,0.00867422,0.901272,16237.9,0.499508,0.25724,-0.1,0.02,118.783,1.36397e+06,1.0555,0.661997,0.0405595,0.00723901,-3.04015,nan,0.075,0.028,4.26934,-0.0132301,-0.0028874,-0.000282694,0,-0.290332,-0.0381314,-5.65405e-07
112,nan,nan,0.0897071,0,0,0.192898,0.850578,0.0443736,-0.00802811,23.6557,0.000131687,0.0042334,0.899902,16142.9,0.508402,0.252801,-0.1,0.02,119.546,1.37626e+06,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
113,nan,nan,0.0900467,0,0,0.190401,0.863486,0.0432429,-0.00865813,23.6224,0.000131687,0.0138261,0.898031,16239.9,0.499133,0.25752,-0.1,0.02,120.304,1.38854e+06,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
114,nan,nan,0.0901495,0,0,0.189213,0.841216,0.0427175,-0.00828401,23.5867,0.000131687,0.0128569,0.896305,15008.9,0.542617,0.276098,-0.1,0.02,121.124,1.40083e+06,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
115,nan,nan,0.0903753,0,0,0.190186,0.838523,0.0410924,-0.00760066,23.5526,0.000131687,0.0153532,0.894639,16447.6,0.496693,0.250409,-0.1,0.02,121.872,1.41312e+06,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
116,101.786,1000,0.0905563,0.0416667,0,0.189227,0.852586,0.0406942,-0.00851988,23.5198,0.000131687,0.0116002,0.893047,16433.4,0.493787,0.253957,-0.1,0.02,122.621,1.42541e+06,1.55834,0.839372,0.0195616,0.00333989,-2.93176,nan,0.048,0.017,5.90909,-0.0252936,-7.04153e-05,-5.57241e-05,-0.004,-0.306122,-0.0381318,-5.11938e-07
117,65.2708,1000,0.0909505,0.166667,0,0.189057,0.84101,0.0403341,-0.00986342,23.4859,0.000131687,0.0108815,0.891244,16161.7,0.508207,0.252107,-0.1,0.02,123.382,1.4377e+06,1.24468,0.825429,0.0306515,0.00676573,-3.00579,nan,0.08025,0.0275,4.44009,-0.016398,-0.00226105,-0.000133961,0,-0.327022,-0.0402224,-5.61536e-07
118,81.7843,1000,0.0912311,0.333333,0,0.189823,0.842191,0.0435501,-0.00927935,23.4505,0.000131687,0.0148682,0.889602,15973.7,0.517777,0.251489,-0.1,0.02,124.153,1.44998e+06,1.3214,0.777407,0.0264523,0.00614706,-2.98518,nan,0.081375,0.027875,5.21622,-0.0189279,-0.00213289,-0.000138975,-0.0015,-0.320992,-0.0387937,-5.95139e-07
119,76.7166,912.091,0.0902158,0.416667,0.0416667,0.194686,0.856798,0.0743308,-0.00990717,23.4197,0.000131687,0.0120377,0.88825,14775.8,0.565837,0.265791,-0.1,0.02,124.986,1.46227e+06,1.20534,0.70204,0.0319381,0.00623358,-2.71336,nan,0.0665455,0.0261818,4.85219,-0.0177995,-0.00151913,-8.04711e-05,-0.00254545,-0.283002,-0.0363302,-5.57293e-07
120,81.4012,879.625,0.090812,0.291667,0.0416667,0.196188,0.864174,0.0535952,-0.010762,23.3931,0.000131687,0.0100112,0.886898,15598,0.522553,0.265241,-0.1,0.02,125.775,1.47456e+06,1.17756,0.730892,0.0341991,0.00713578,-2.61182,nan,0.067125,0.02925,4.96343,-0.0172206,-0.0015494,-8.63389e-05,0,-0.273927,-0.0349269,-5.27909e-07
121,77.461,1000,0.0909451,0.666667,0,0.196287,0.852912,0.0552042,-0.0107702,23.3642,0.000131687,0.0122413,0.885534,15391.8,0.546667,0.251681,-0.1,0.02,126.575,1.48685e+06,1.41986,0.815927,0.0352234,0.00633109,-2.97196,nan,0.0759375,0.0243125,4.84242,-0.0167703,-0.00189265,-9.58481e-05,-0.0015625,-0.316853,-0.0378204,-5.71632e-07
122,74.0345,916.478,0.0895283,0.875,0.0833333,0.202936,0.880966,0.100727,-0.00997842,23.3401,0.000131687,0.0087707,0.884507,15514.3,0.530616,0.261429,-0.1,0.02,127.368,1.49914e+06,1.2033,0.725985,0.029625,0.00534778,-2.72667,nan,0.0709565,0.0302174,4.70596,-0.0170915,-0.00177804,-0.000108792,-0.000217391,-0.286799,-0.0369914,-5.39938e-07
123,75.1925,907.643,0.088259,1.58333,0.166667,0.207868,0.891982,0.121402,-0.00974467,23.322,0.000131687,0.0129911,0.883763,14596.9,0.584767,0.257053,-0.1,0.02,128.211,1.51142e+06,1.18229,0.710582,0.0329175,0.00514,-2.68196,nan,0.0666429,0.0263571,4.77066,-0.0176362,-0.00142347,-8.3418e-05,-0.000904762,-0.296543,-0.0364146,-5.479e-07
124,82.3743,938.468,0.0849176,1.83333,0.125,0.220653,0.93381,0.156643,-0.0112188,23.3082,0.000131687,0.0146356,0.883148,11584,0.676111,0.384659,-0.1,0.02,129.273,1.52371e+06,1.24639,0.744621,0.0296405,0.00444417,-2.7798,nan,0.078766,0.0274468,5.13192,-0.0180155,-0.00230038,-9.68497e-05,-0.00140426,-0.306061,-0.03684,-5.55488e-07
