iteration,Train/mean_reward,Train/mean_episode_length,Train/mean_step_reward,Episode_Termination/time_out,Episode_Termination/fell_over,Metrics/twist/error_vel_xy,Metrics/twist/error_vel_yaw,Loss/value,Loss/surrogate,Loss/entropy,Loss/learning_rate,Loss/kl,Policy/mean_std,Perf/total_fps,Perf/collection_time,Perf/learning_time,Curriculum/action_rate_weight,Curriculum/standing_envs,time_s,env_steps,Episode_Reward/track_linear_velocity,Episode_Reward/track_angular_velocity,Episode_Reward/upright,Episode_Reward/pose,Episode_Reward/action_rate_l2,Episode_Reward/alive,Episode_Reward/air_time,Episode_Reward/single_stance,Episode_Reward/foot_lift,Episode_Reward/foot_alternation,Episode_Reward/foot_symmetry,Episode_Reward/foot_clearance,Episode_Reward/foot_swing_height,Episode_Reward/foot_slip,Episode_Reward/trot,Episode_Reward/joint_torque,Episode_Reward/self_collisions,Episode_Reward/dof_pos_limits,Episode_Reward/body_ang_vel,Episode_Reward/angular_momentum
301,-0.744202,22.25,-0.00710981,0,0.166667,0.141585,1.041,0.0331994,-0.0130178,4.41655,0.0002,0.0188287,0.349264,11862,0.634133,0.401779,-0.1,0.02,1.03609,3.69869e+06,0.00449411,0.00206873,0.01066,0.00071936,-0.00745243,nan,0.001825,nan,nan,nan,nan,-0.00262164,-0.0048975,-0.000632656,0.0005,-0.00952014,-0.00025,-0.000133464,-0.0319694,nan
302,-0.814814,38.1818,-0.00517662,0,0.458333,0.14026,1.18675,0.0423449,-0.0136838,4.39606,0.0002,0.0134979,0.348815,14289.5,0.57382,0.286115,-0.1,0.02,1.89819,3.71098e+06,0.00971935,0.00137452,0.0186217,0.00121922,-0.0120984,nan,0.00359091,nan,nan,nan,nan,-0.00270101,-0.00574983,-0.000946253,0.00281818,-0.015622,0,-0.000632985,-0.0403341,nan
303,-0.733712,60.5556,-0.00536661,0,0.375,0.142962,1.20405,0.0381046,-0.0118649,4.38218,0.0002,0.0199368,0.348439,14433.2,0.584226,0.267147,-0.1,0.02,2.75091,3.72326e+06,0.0258633,0.00226628,0.0368631,0.00175642,-0.0191944,nan,0.00901111,nan,nan,nan,nan,-0.00328951,-0.010122,-0.00178263,0.00611111,-0.0243976,0,-0.00110791,-0.0586628,nan
304,-1.08918,86.3846,-0.00600459,0,0.541667,0.143704,1.24872,0.0352566,-0.0122471,4.37014,0.000133333,0.0206443,0.348121,16059.8,0.496537,0.268604,-0.1,0.02,3.51724,3.73555e+06,0.0354094,0.00287036,0.0537558,0.00235287,-0.0280739,nan,0.0124154,nan,nan,nan,nan,-0.00494713,-0.0170322,-0.00276696,0.00769231,-0.0356352,0,-0.00155081,-0.0789488,nan
305,-1.39895,109.615,-0.00561859,0,0.541667,0.14492,1.1912,0.0294028,-0.0143369,4.36027,0.000133333,0.0128634,0.347846,13312.2,0.537905,0.385156,-0.1,0.02,4.44168,3.74784e+06,0.0370443,0.00359291,0.0691752,0.00311289,-0.0352176,nan,0.0173231,nan,nan,nan,nan,-0.00585518,-0.0222106,-0.00339042,0.00776923,-0.0448797,-0.000384615,-0.00193256,-0.0940945,nan
306,-1.1609,114.25,-0.0050981,0,0.5,0.143739,1.20727,0.026644,-0.0133638,4.34827,0.000133333,0.0154162,0.347411,12678.4,0.620562,0.348642,-0.1,0.02,5.41269,3.76013e+06,0.0466839,0.00286727,0.0793272,0.00362954,-0.0368352,nan,0.0169333,nan,nan,nan,nan,-0.00566049,-0.0241138,-0.00382059,0.0108333,-0.0476058,0,-0.000899013,-0.0993849,nan
307,-1.44727,146.833,-0.00583849,0,0.25,0.143792,1.1874,0.0302841,-0.0124487,4.33357,8.88889e-05,0.0218999,0.347019,10745.8,0.708661,0.434856,-0.1,0.02,6.55742,3.77242e+06,0.043735,0.00407029,0.102061,0.00423623,-0.0468919,nan,0.0254833,nan,nan,nan,nan,-0.00768469,-0.0278131,-0.00468757,0.0158333,-0.0600247,-0.000333333,-0.0028571,-0.11749,nan
308,-1.82079,161.2,-0.00490747,0,0.208333,0.140229,1.19205,0.0291107,-0.0121512,4.32134,8.88889e-05,0.0173963,0.34669,11379.7,0.689953,0.38986,-0.1,0.02,7.6388,3.7847e+06,0.0472359,0.00394411,0.109542,0.00461727,-0.0519896,nan,0.02538,nan,nan,nan,nan,-0.00722423,-0.0286885,-0.00502793,0.0138,-0.0654571,0,-0.00464424,-0.132528,nan
309,-1.6647,186.786,-0.00637767,0,0.583333,0.14428,1.19203,0.0317022,-0.0111562,4.31008,8.88889e-05,0.0155638,0.346397,12042.1,0.644337,0.376084,-0.1,0.02,8.6608,3.79699e+06,0.0688081,0.00733293,0.128465,0.00589835,-0.0586591,nan,0.0286214,nan,nan,nan,nan,-0.00907185,-0.0377365,-0.0065187,0.0193571,-0.076767,0,-0.00257245,-0.150393,nan
310,-1.48895,199.571,-0.00584422,0,0.583333,0.143962,1.2106,0.0326745,-0.0120001,4.30006,8.88889e-05,0.0183566,0.346096,13359.4,0.564564,0.355238,-0.1,0.02,9.58193,3.80928e+06,0.0935146,0.00536815,0.13535,0.00605564,-0.0635741,nan,0.0323786,nan,nan,nan,nan,-0.00949225,-0.0395215,-0.00668771,0.0188571,-0.0818223,-7.14286e-05,-0.00267581,-0.162127,nan
