iteration,Train/mean_reward,Train/mean_episode_length,Train/mean_step_reward,Episode_Termination/time_out,Episode_Termination/fell_over,Metrics/twist/error_vel_xy,Metrics/twist/error_vel_yaw,Loss/value,Loss/surrogate,Loss/entropy,Loss/learning_rate,Loss/kl,Policy/mean_std,Perf/total_fps,Perf/collection_time,Perf/learning_time,Curriculum/action_rate_weight,Curriculum/standing_envs,time_s,env_steps,Episode_Reward/track_linear_velocity,Episode_Reward/track_angular_velocity,Episode_Reward/upright,Episode_Reward/pose,Episode_Reward/action_rate_l2,Episode_Reward/alive,Episode_Reward/air_time,Episode_Reward/single_stance,Episode_Reward/foot_lift,Episode_Reward/foot_alternation,Episode_Reward/foot_symmetry,Episode_Reward/foot_clearance,Episode_Reward/foot_swing_height,Episode_Reward/foot_slip,Episode_Reward/trot,Episode_Reward/joint_torque,Episode_Reward/self_collisions,Episode_Reward/dof_pos_limits,Episode_Reward/body_ang_vel,Episode_Reward/angular_momentum,Episode_Reward/no_progress,Episode_Reward/joint_vel,Episode_Reward/undesired_contacts,Episode_Reward/base_height,Episode_Reward/three_stance,Episode_Reward/under_stance,Episode_Reward/all_stance,Episode_Reward/footfall_sequence,Episode_Reward/termination
3001,-12.5906,17.5,-0.115211,0,0.166667,0.107309,0.997188,1.27179,-0.00781636,2.58028,0.000133333,0.0321639,0.30002,14677.9,0.56437,0.272807,-0.4,0.25,0.837328,3.68763e+07,0.0144501,0.000266144,0.00613447,0.000533643,-0.0188292,0.0175,-0.00585,nan,nan,nan,nan,-0.00302479,-0.00437827,-0.000445079,nan,-0.00618696,0,-0.00587144,-0.0306153,nan,-0.0170874,-0.0251989,-0.02775,0.0145728,0.004,-0.048,0,0.00625,-0.5
3002,-15.4596,37,-0.106729,0,0.708333,0.100234,1.00743,1.13679,-0.00163827,2.58009,8.88889e-05,0.0392422,0.300003,16368.8,0.507054,0.243644,-0.4,0.25,1.58972,3.68886e+07,0.0193099,0.00220176,0.0124051,0.000590676,-0.0367087,0.037,-0.0136588,nan,nan,nan,nan,-0.00352798,-0.00717409,-0.00150789,nan,-0.0123311,-0.000235294,-0.0142887,-0.0398805,nan,-0.0717048,-0.0388103,-0.0725294,0.0253279,0.0171765,-0.0797647,-0.00129412,0.00220588,-0.5
3003,-17.8725,65.5,-0.0900316,0,0.0833333,0.0993971,1.00584,0.972799,-0.00228636,2.57911,8.88889e-05,0.0106321,0.299943,16178,0.515489,0.244061,-0.4,0.25,2.35061,3.69009e+07,0.06098,0.00319271,0.0218292,0.000929046,-0.0690339,0.0655,-0.033,nan,nan,nan,nan,-0.00445748,-0.0118902,-0.00409724,nan,-0.0207218,0,-0.0254408,-0.0662197,nan,-0.111504,-0.0613013,-0.102,0.054613,0.028,-0.114,-0.005,0,-0.5
3004,-21.5306,89.6667,-0.0888191,0,0.125,0.0994567,1.00533,0.660571,-0.00708614,2.57518,5.92593e-05,0.0217174,0.299848,16833.5,0.487056,0.242917,-0.4,0.25,3.08602,3.69132e+07,0.0403786,0.00355581,0.0391684,0.000701231,-0.0835482,0.0896667,-0.0363333,nan,nan,nan,nan,-0.00908982,-0.0271792,-0.00424463,nan,-0.0286264,-0.000333333,-0.0353891,-0.0863297,nan,-0.189153,-0.085811,-0.139,0.0855375,0.0426667,-0.170667,-0.00333333,0.0208333,-0.5
3005,-21.3227,105.75,-0.0943417,0,0.5,0.0980267,1.00252,0.819815,-0.00452626,2.57276,5.92593e-05,0.00943013,0.299803,16852.5,0.486415,0.242736,-0.4,0.25,3.81656,3.69254e+07,0.0826657,0.00532473,0.054267,0.000675977,-0.104817,0.10575,-0.0520417,nan,nan,nan,nan,-0.00725545,-0.0227179,-0.00562386,nan,-0.0331701,-8.33333e-05,-0.0484124,-0.100047,nan,-0.226397,-0.088888,-0.1275,0.0868874,0.077,-0.159333,-0.0045,0.00208333,-0.5
3006,-23.3896,120.2,-0.0877454,0,0.208333,0.0991727,1.00438,0.752892,-0.00756142,2.56977,5.92593e-05,0.0166063,0.299698,16777.9,0.491218,0.241173,-0.4,0.25,4.55025,3.69377e+07,0.0680945,0.00703157,0.0559934,0.000746399,-0.113488,0.1202,-0.06176,nan,nan,nan,nan,-0.00777393,-0.0294172,-0.00569618,nan,-0.037451,-0.0008,-0.0529908,-0.120012,nan,-0.267161,-0.0983814,-0.1494,0.108485,0.0912,-0.1864,-0.008,0.0175,-0.5
3007,-23.494,143.857,-0.0899501,0,0.291667,0.0976991,0.990563,0.811846,-0.00588294,2.56603,5.92593e-05,0.0119097,0.299632,13331.4,0.531257,0.390476,-0.4,0.25,5.47326,3.695e+07,0.109623,0.00687897,0.0743969,0.000747855,-0.136561,0.143857,-0.0745286,nan,nan,nan,nan,-0.00933272,-0.0302954,-0.00741062,nan,-0.044186,-0.000714286,-0.064594,-0.125984,nan,-0.255744,-0.114423,-0.165429,0.144854,0.104571,-0.225714,-0.00828571,0.00357143,-0.5
3008,-25.974,178,-0.0898395,0,0.416667,0.1004,1.01455,0.840587,-0.00695948,2.56326,5.92593e-05,0.0162757,0.29954,12075.4,0.663837,0.353769,-0.4,0.25,6.49219,3.69623e+07,0.127549,0.0084875,0.108057,0.000793675,-0.17066,0.178,-0.08397,nan,nan,nan,nan,-0.00933609,-0.0340811,-0.00820957,nan,-0.0540142,-0.0001,-0.0825236,-0.150801,nan,-0.317371,-0.139623,-0.1965,0.162951,0.1136,-0.26,-0.0072,0.01625,-0.5
3009,-30.6721,196.125,-0.0867755,0,0.333333,0.100743,1.02022,0.52849,-0.00646828,2.55963,5.92593e-05,0.012354,0.299456,13297.8,0.585101,0.338963,-0.4,0.25,7.41799,3.69746e+07,0.13832,0.00906264,0.114875,0.000790005,-0.193508,0.196125,-0.097975,nan,nan,nan,nan,-0.0106067,-0.0396325,-0.00965073,nan,-0.0596943,-0.0005,-0.0900852,-0.159246,nan,-0.483467,-0.160735,-0.20925,0.186322,0.1435,-0.319,-0.008,0.01875,-0.5
3010,-32.3246,229.5,-0.0870645,0,0.333333,0.0993506,0.995249,0.580618,-0.00650116,2.55571,5.92593e-05,0.0157341,0.299342,13190,0.580097,0.35152,-0.4,0.25,8.35099,3.69869e+07,0.155772,0.014935,0.127697,0.00093675,-0.215975,0.2295,-0.122775,nan,nan,nan,nan,-0.011351,-0.0445554,-0.0117438,nan,-0.0695012,0,-0.106651,-0.191822,nan,-0.488494,-0.179283,-0.24375,0.219082,0.1795,-0.3325,-0.01275,-0.0125,-0.5
