iteration,Train/mean_reward,Train/mean_episode_length,Train/mean_step_reward,Episode_Termination/time_out,Episode_Termination/fell_over,Metrics/twist/error_vel_xy,Metrics/twist/error_vel_yaw,Loss/value,Loss/surrogate,Loss/entropy,Loss/learning_rate,Loss/kl,Policy/mean_std,Perf/total_fps,Perf/collection_time,Perf/learning_time,Curriculum/action_rate_weight,Curriculum/standing_envs,time_s,env_steps,Episode_Reward/track_linear_velocity,Episode_Reward/track_angular_velocity,Episode_Reward/upright,Episode_Reward/pose,Episode_Reward/action_rate_l2
24,5.41568,161.727,0.0941989,0,0.458333,0.0872019,0.30446,0.733914,-0.00973914,-15.8858,1e-05,0.0264842,0.100114,12489.9,0.714277,0.269556,-1,0.2,23.2534,294912,0.175328,0.159919,0.310005,0.0834485,-0.457916
25,19.2272,356.714,0.0908543,0,0.583333,0.0908311,0.328706,0.78531,-0.0112728,-15.8845,1e-05,0.0276574,0.10012,13296,0.653855,0.270335,-1,0.2,24.1788,307200,0.428913,0.428943,0.689754,0.201934,-0.788182
26,7.98633,220.538,0.0941447,0,0.541667,0.0837579,0.299921,0.79065,-0.0102518,-15.8834,1e-05,0.0197915,0.100128,13028.2,0.676201,0.266983,-1,0.2,25.1232,319488,0.255144,0.233457,0.422515,0.111338,-0.623138
27,14.9242,309.167,0.0961132,0,0.5,0.0858186,0.298063,0.683504,-0.0106497,-15.8818,1e-05,0.0186145,0.100136,13029.5,0.687038,0.256056,-1,0.2,26.0676,331776,0.385367,0.3502,0.597524,0.177859,-0.764742
28,19.8532,355.8,0.0936291,0,0.416667,0.0834189,0.308924,0.712895,-0.00931155,-15.8805,1e-05,0.0288381,0.100144,14028,0.623906,0.252058,-1,0.2,26.9447,344064,0.420235,0.435447,0.686469,0.20586,-0.755349
29,15.5863,334.062,0.0932924,0,0.666667,0.0884229,0.292547,0.747115,-0.0108999,-15.8792,1e-05,0.0321404,0.10015,13183,0.67021,0.2619,-1,0.2,27.8779,356352,0.389501,0.400556,0.643835,0.185299,-0.839876
30,19.9965,395.444,0.0942196,0,0.375,0.0854042,0.301786,0.738987,-0.0115008,-15.8782,1e-05,0.0258413,0.100157,13793.7,0.640911,0.249933,-1,0.2,28.7699,368640,0.441164,0.445264,0.760714,0.201668,-0.848985
31,17.8132,344.389,0.0944456,0,0.75,0.082938,0.290506,0.740696,-0.0124125,-15.8767,1e-05,0.0204967,0.100165,12741.4,0.688776,0.27564,-1,0.2,29.7355,380928,0.414507,0.414179,0.664679,0.190604,-0.793307
32,7.36254,202.636,0.0988263,0,0.458333,0.0773318,0.277932,0.678567,-0.0103478,-15.8751,1e-05,0.0157301,0.100175,13574.7,0.655593,0.249622,-1,0.2,30.6419,393216,0.23692,0.216647,0.390042,0.111653,-0.587136
33,33.2057,530.2,0.0986794,0,0.416667,0.0768734,0.272873,0.686814,-0.00944685,-15.8734,1e-05,0.0214034,0.100183,13718.8,0.637219,0.258488,-1,0.2,31.5389,405504,0.651882,0.658636,1.02732,0.30321,-0.980758
34,17.0567,354.286,0.0982436,0,0.291667,0.0761312,0.278812,0.731147,-0.0108722,-15.8719,1e-05,0.020345,0.100192,14200.7,0.610435,0.254872,-1,0.2,32.4054,417792,0.407139,0.38477,0.681443,0.183914,-0.804431
35,14.7216,275.312,0.0982401,0,0.666667,0.0785162,0.284489,0.6536,-0.010504,-15.8704,1e-05,0.0215753,0.100199,12428.3,0.701211,0.287504,-1,0.2,33.3954,430080,0.335684,0.325066,0.531762,0.152682,-0.609112
36,36.7149,530.4,0.0994538,0,0.416667,0.0745754,0.243463,0.684114,-0.00906425,-15.8694,1e-05,0.0179296,0.100205,12353,0.729812,0.264925,-1,0.2,34.3917,442368,0.699588,0.69282,1.03154,0.319494,-0.9077
37,14.2044,275.833,0.100499,0,0.25,0.0731403,0.252455,0.619073,-0.00910949,-15.8684,1e-05,0.0182046,0.100209,13162.8,0.622996,0.310545,-1,0.2,35.3265,454656,0.329036,0.346989,0.530196,0.155207,-0.651212
38,31.4617,538.222,0.0987828,0,0.375,0.0733371,0.264553,0.646691,-0.0106867,-15.8674,1e-05,0.0190285,0.100217,13266.9,0.660454,0.26576,-1,0.2,36.2544,466944,0.61328,0.637985,1.04391,0.29336,-1.01545
39,17.3252,297.222,0.100211,0,0.375,0.0756632,0.252832,0.633547,-0.0108558,-15.8658,1e-05,0.015863,0.100226,12541.3,0.682797,0.297007,-1,0.2,37.2353,479232,0.346255,0.357537,0.571616,0.167001,-0.57615
40,20.8103,383.444,0.0996298,0,0.375,0.0727537,0.257699,0.635897,-0.0100394,-15.8645,1e-05,0.0214431,0.100234,8994.58,1.00713,0.359029,-1,0.2,38.6037,491520,0.480092,0.452015,0.741079,0.209133,-0.841804
41,12.3414,279.727,0.100056,0,0.458333,0.0726628,0.265825,0.595244,-0.00895207,-15.863,1e-05,0.0220402,0.10024,9641.6,0.909712,0.364765,-1,0.2,39.8795,503808,0.320951,0.304499,0.53792,0.149511,-0.695812
42,108.9,973.362,0.0989531,7.875,0.291667,0.0784348,0.239379,0.638543,-0.0100079,-15.862,1e-05,0.016592,0.100246,8935.54,1.04269,0.332498,-1,0.2,41.2562,516096,1.74689,1.71372,1.9059,0.795939,-0.717438
43,25.2078,401,0.0912549,0,0.208333,0.102715,0.302881,0.775629,-0.0100897,-15.861,1e-05,0.0167148,0.100251,13519.3,0.654077,0.254845,-1,0.2,42.1663,528384,0.542149,0.51451,0.774962,0.251097,-0.82233
44,61.9627,628.323,0.0864833,0.666667,0.625,0.0988194,0.374186,0.972695,-0.0132779,-15.8601,1e-05,0.0157715,0.100256,8764.9,1.03597,0.365988,-1,0.2,43.5694,540672,1.05823,1.01174,1.22577,0.471751,-0.669363
45,32.8625,390.577,0.0817979,0.333333,0.75,0.103729,0.385914,1.20405,-0.00885852,-15.8591,1e-05,0.0308241,0.100262,9144.25,0.928271,0.415525,-1,0.2,44.9146,552960,0.615075,0.602049,0.759257,0.276327,-0.609585
46,43.9339,465.48,0.0843429,0.375,0.666667,0.103179,0.38841,0.995513,-0.0114539,-15.8579,1e-05,0.0243202,0.10027,10176.4,0.921094,0.286409,-1,0.2,46.1236,565248,0.782774,0.754355,0.907241,0.355498,-0.60317
47,41.522,464.622,0.0851535,0.625,1.25,0.101356,0.391983,0.993483,-0.00945831,-15.8564,1e-05,0.0233869,0.100278,9136.84,0.969948,0.374938,-1,0.2,47.4697,577536,0.72908,0.714339,0.904186,0.333266,-0.604773
48,71.646,703.259,0.0889556,0.666667,0.458333,0.095601,0.352961,0.928045,-0.0108372,-15.855,1e-05,0.0200414,0.100285,9030.94,1.01189,0.348765,-1,0.2,48.8316,589824,1.184,1.16284,1.37396,0.544697,-0.683198
49,18.4011,321,0.0855565,0.125,0.916667,0.101082,0.400579,0.967943,-0.00913281,-15.8538,1e-05,0.0207709,0.100292,10275.8,0.895233,0.300591,-1,0.2,50.0289,602112,0.421322,0.399429,0.621364,0.181721,-0.703781
50,25.3528,388.294,0.0898846,0.208333,0.5,0.0962646,0.345906,0.76521,-0.0119706,-15.8527,1e-05,0.0203971,0.100296,10495.6,0.823933,0.346846,-1,0.2,51.2011,614400,0.519857,0.51008,0.752512,0.218703,-0.733512
51,43.5347,466.75,0.0874248,0.375,0.791667,0.0979385,0.379161,1.0196,-0.00910013,-15.852,1e-05,0.0250327,0.100301,9387.48,0.926511,0.382467,-1,0.2,52.5116,626688,0.770371,0.722558,0.909128,0.355119,-0.580442
52,41.4653,465.357,0.087354,0.416667,0.75,0.100546,0.362202,0.919882,-0.01006,-15.8508,1e-05,0.0257896,0.10031,8989.17,1.01618,0.350799,-1,0.2,53.88,638976,0.729217,0.720212,0.903583,0.343368,-0.623116
53,40.332,472.95,0.0885048,0.208333,0.625,0.0974947,0.341434,0.938022,-0.012374,-15.8493,1e-05,0.021846,0.100317,9762.66,0.842638,0.416036,-1,0.2,55.14,651264,0.729916,0.721066,0.918905,0.34852,-0.701807
54,48.2003,539.1,0.0885837,0.375,0.458333,0.0966261,0.372145,0.9925,-0.0103117,-15.848,1e-05,0.0182257,0.100326,9327.42,0.970434,0.346972,-1,0.2,56.4589,663552,0.84309,0.849375,1.05132,0.371683,-0.705455
55,27.2872,369.864,0.0860911,0.166667,0.75,0.10029,0.392977,1.30394,-0.0099638,-15.8465,1e-05,0.0213271,0.100333,9645.6,0.929703,0.344246,-1,0.2,57.7341,675840,0.545151,0.524666,0.719428,0.234018,-0.658903
56,60.889,583.76,0.0892208,0.5,0.541667,0.0959896,0.338781,1.03675,-0.0088769,-15.8453,1e-05,0.0155704,0.100339,7680.97,1.09629,0.503509,-1,0.2,59.3356,688128,1.02352,1.00396,1.13843,0.476332,-0.597793
57,38.848,427.75,0.0870163,0.25,0.583333,0.10047,0.372069,1.15202,-0.0101458,-15.8441,1e-05,0.0128905,0.100346,8543.51,0.984125,0.45416,-1,0.2,60.7757,700416,0.701846,0.668079,0.831885,0.317624,-0.577035
58,45.9205,515.793,0.0888399,0.416667,0.791667,0.100728,0.345129,0.990055,-0.00981652,-15.8427,1e-05,0.0115153,0.100354,7481.09,1.12759,0.514954,-1,0.2,62.42,712704,0.81335,0.791782,1.00395,0.372816,-0.685874
59,49.6447,550.5,0.0868003,0.291667,0.458333,0.0999316,0.364388,1.35015,-0.0117235,-15.8414,1e-05,0.0219337,0.100361,6730.87,1.08203,0.743593,-1,0.2,64.2471,724992,0.898588,0.851624,1.07352,0.397745,-0.739246
60,42.5828,464.68,0.0883406,0.291667,0.75,0.0994572,0.348152,1.11382,-0.0107241,-15.8403,1e-05,0.0168695,0.100367,6972.46,1.17805,0.584316,-1,0.2,66.0127,737280,0.751975,0.731863,0.903841,0.352913,-0.611453
61,33.3149,416.737,0.0901573,0.208333,0.583333,0.0981068,0.337796,1.12265,-0.0108623,-15.8393,1e-05,0.0115701,0.100372,6737.49,1.34388,0.479948,-1,0.2,67.8383,749568,0.64561,0.608175,0.808256,0.29353,-0.689825
62,36.5843,425.316,0.0911878,0.208333,0.583333,0.0963593,0.324516,0.888099,-0.011009,-15.8382,1e-05,0.0172794,0.100379,9781.75,0.878717,0.3775,-1,0.2,69.096,761856,0.654511,0.646513,0.824924,0.305269,-0.602001
63,28.2683,395.8,0.0889148,0.166667,0.666667,0.0948358,0.343773,1.12295,-0.0111233,-15.837,1e-05,0.0255088,0.100385,8907.32,1.00718,0.372355,-1,0.2,70.4772,774144,0.53977,0.554454,0.766328,0.253915,-0.701053
64,53.8557,615.182,0.0912026,0.416667,0.5,0.0931434,0.311961,0.81766,-0.0108918,-15.836,1e-05,0.0101384,0.100391,8596.09,1.04223,0.387261,-1,0.2,71.908,786432,0.948376,0.927676,1.19638,0.431093,-0.810739
65,28.2796,368.429,0.0883125,0.125,0.458333,0.0953317,0.34784,1.4101,-0.0118302,-15.8348,1e-05,0.0237385,0.100399,9599.12,0.923166,0.356952,-1,0.2,73.1896,798720,0.536057,0.525354,0.714383,0.242982,-0.604796
66,22.2125,381,0.0927865,0.125,0.75,0.0912052,0.308356,0.852387,-0.0119229,-15.8332,1e-05,0.0119211,0.100408,8946.12,0.966953,0.406603,-1,0.2,74.5645,811008,0.469798,0.471,0.736131,0.220251,-0.786557
67,60.3412,608.733,0.0963966,0.25,0.375,0.0846722,0.286712,0.878164,-0.0112442,-15.8316,1e-05,0.015472,0.100417,8231.67,1.03298,0.459792,-1,0.2,76.0587,823296,1.01863,1.01256,1.1848,0.478865,-0.677799
68,38.009,470.375,0.0968478,0.0833333,0.25,0.0855568,0.264477,0.752495,-0.0114269,-15.8303,1e-05,0.0151101,0.100422,9269.07,0.958033,0.367667,-1,0.2,77.3856,835584,0.718938,0.674854,0.915355,0.31857,-0.727268
69,53.4112,553.923,0.0942356,0.208333,0.333333,0.0874333,0.304551,0.87059,-0.0109942,-15.8293,1e-05,0.0181917,0.100429,7801.39,1.11816,0.456943,-1,0.2,78.9624,847872,0.917835,0.883931,1.07535,0.432582,-0.639133
70,48.2622,631.308,0.0921024,0.166667,0.375,0.0887251,0.317581,1.09672,-0.0136261,-15.828,1e-05,0.0181875,0.100436,8373.02,1.05198,0.415586,-1,0.2,80.4317,860160,0.888489,0.886298,1.22708,0.399849,-0.988604
71,36.9996,462.417,0.0918802,0.166667,0.833333,0.0907182,0.327211,1.12951,-0.0101913,-15.8267,1e-05,0.0139217,0.100444,9387.68,0.942413,0.366536,-1,0.2,81.7422,872448,0.681166,0.667678,0.893778,0.328244,-0.720883
72,35.1504,456.667,0.0929821,0.166667,0.333333,0.0857627,0.29174,0.919522,-0.00888924,-15.8251,1e-05,0.0130971,0.100453,8594.81,1.02465,0.405052,-1,0.2,83.1734,884736,0.673564,0.64245,0.887676,0.300621,-0.74679
73,64.1006,671.4,0.0911219,0.416667,0.416667,0.0896762,0.316019,1.10386,-0.0102463,-15.8235,1e-05,0.0211012,0.100462,8333.88,1.04976,0.424706,-1,0.2,84.6493,897024,1.09614,1.05561,1.30508,0.49604,-0.747842
74,30.7393,439.222,0.0928554,0.125,0.625,0.0892515,0.309168,0.910386,-0.0115594,-15.8219,1e-05,0.0183103,0.100471,10176.7,0.862997,0.344463,-1,0.2,85.8582,909312,0.601232,0.597274,0.852594,0.28625,-0.800383
75,31.4583,441.692,0.0934881,0.0833333,0.458333,0.0841675,0.29432,1.01777,-0.013105,-15.82,1e-05,0.00850403,0.100483,9353.13,0.959907,0.353877,-1,0.2,87.1734,921600,0.611126,0.612679,0.856851,0.285983,-0.793723
76,41.1219,500.833,0.0955919,0.166667,0.333333,0.0836228,0.275123,0.893601,-0.0114143,-15.818,1e-05,0.0110089,0.100494,9222.05,0.950452,0.382007,-1,0.2,88.5074,933888,0.741976,0.740828,0.968364,0.349095,-0.744166
77,44.1846,513.235,0.0958451,0.208333,0.5,0.0837055,0.294292,0.935011,-0.0116195,-15.8163,1e-05,0.018585,0.100501,9648.17,0.93985,0.333759,-1,0.2,89.7826,946176,0.791004,0.763659,0.993753,0.371855,-0.711043
78,55.3082,633.2,0.0955342,0.208333,0.416667,0.0850336,0.301004,1.02021,-0.0107399,-15.8152,1e-05,0.0164193,0.100507,9577.66,0.928491,0.354494,-1,0.2,91.0668,958464,0.956148,0.932156,1.23099,0.44597,-0.799856
79,29.9373,406.889,0.0953449,0.0416667,0.333333,0.0831995,0.289764,0.915604,-0.0116216,-15.814,1e-05,0.014914,0.100515,9880.04,0.8783,0.36542,-1,0.2,92.3118,970752,0.594787,0.574697,0.786227,0.27788,-0.736726
80,44.342,545.1,0.0950942,0.0833333,0.333333,0.0833878,0.279253,0.896319,-0.0118428,-15.8127,1e-05,0.0167381,0.100522,10062.1,0.906388,0.314824,-1,0.2,93.5342,983040,0.829151,0.799406,1.05622,0.364369,-0.832048
81,44.3736,591.071,0.0964845,0.166667,0.416667,0.0813424,0.284443,0.905134,-0.00883305,-15.8113,1e-05,0.0109029,0.100531,7551.9,1.09965,0.527487,-1,0.2,95.1627,995328,0.839648,0.817991,1.14848,0.379598,-0.967035
82,49.366,593.786,0.0969875,0.166667,0.416667,0.0818135,0.263765,0.80104,-0.0109683,-15.8095,1e-05,0.0210889,0.100542,8850.96,1.02464,0.363682,-1,0.2,96.5538,1.00762e+06,0.862196,0.866932,1.1481,0.408492,-0.817415
83,61.5492,689.286,0.0964601,0.208333,0.375,0.0808936,0.268302,0.822978,-0.0108232,-15.8077,1e-05,0.0188928,0.10055,10174.4,0.906639,0.301104,-1,0.2,97.763,1.0199e+06,1.09266,1.06924,1.33877,0.487607,-0.910822
84,104.329,949.571,0.0949592,3.125,0.375,0.0928947,0.299081,0.991417,-0.0112925,-15.8064,1e-05,0.0145444,0.100556,10818.4,0.864734,0.271107,-1,0.2,98.9,1.03219e+06,1.67144,1.65321,1.85028,0.763833,-0.722341
85,8.47178,215.625,0.0946852,0,0.333333,0.0888162,0.287414,0.957705,-0.00973647,-15.8053,1e-05,0.0152451,0.100562,13280.7,0.657048,0.268201,-1,0.2,99.8265,1.04448e+06,0.248875,0.211645,0.414247,0.116144,-0.567323
86,66.8351,704.44,0.0920485,0.625,0.416667,0.0938015,0.339157,1.23337,-0.0113687,-15.8041,1e-05,0.018877,0.10057,12352.6,0.737022,0.25775,-1,0.2,100.822,1.05677e+06,1.13121,1.09228,1.36752,0.513298,-0.762555
87,64.5815,691.871,0.091972,0.708333,0.583333,0.0906882,0.325508,1.31392,-0.00975172,-15.8025,1e-05,0.0219075,0.10058,12114.6,0.751232,0.263085,-1,0.2,101.838,1.06906e+06,1.12046,1.06668,1.34652,0.498678,-0.803263
88,58.7659,613.556,0.0913207,0.541667,0.583333,0.0915783,0.309846,0.988656,-0.0103142,-15.8008,1e-05,0.0158559,0.100589,12265.8,0.744286,0.257527,-1,0.2,102.841,1.08134e+06,1.01596,0.986111,1.19061,0.468313,-0.7227
89,66.6797,685.045,0.095128,0.541667,0.375,0.0904185,0.287155,0.957504,-0.00982968,-15.7992,1e-05,0.0157296,0.100597,12662.7,0.708741,0.261671,-1,0.2,103.813,1.09363e+06,1.11611,1.10587,1.33249,0.512065,-0.732547
90,72.6714,708.214,0.0938819,0.375,0.208333,0.0907048,0.283518,1.04295,-0.0106642,-15.7977,1e-05,0.0138314,0.100607,13007.4,0.686036,0.258659,-1,0.2,104.758,1.10592e+06,1.20562,1.16113,1.37586,0.558801,-0.667839
91,70.3373,666.053,0.0919611,0.458333,0.333333,0.0926964,0.307353,1.13069,-0.0103211,-15.7959,1e-05,0.00965513,0.100616,12034,0.75896,0.262146,-1,0.2,105.781,1.11821e+06,1.17384,1.12725,1.29474,0.538466,-0.617427
92,48.0554,560.579,0.0911688,0.25,0.541667,0.0955776,0.317763,1.00342,-0.0113035,-15.7946,1e-05,0.0140922,0.100622,11222.3,0.807974,0.286987,-1,0.2,106.877,1.1305e+06,0.852851,0.842322,1.08482,0.396468,-0.773689
93,72.6028,690.737,0.0929433,0.5,0.291667,0.0924758,0.314061,1.03454,-0.0118858,-15.7937,1e-05,0.0140617,0.100625,11334.8,0.760771,0.323326,-1,0.2,107.962,1.14278e+06,1.19145,1.16917,1.34079,0.541335,-0.612599
94,60.4107,656.238,0.0940074,0.458333,0.416667,0.0922633,0.280216,0.758399,-0.00914934,-15.7931,1e-05,0.0111254,0.10063,11220.4,0.797389,0.297757,-1,0.2,109.059,1.15507e+06,1.06079,1.01112,1.27211,0.466816,-0.790295
95,67.9378,698.786,0.0933277,0.375,0.208333,0.0930983,0.306118,1.12748,-0.01208,-15.792,1e-05,0.0151801,0.100639,12076.6,0.730679,0.286824,-1,0.2,110.079,1.16736e+06,1.10307,1.1158,1.35343,0.528978,-0.704389
96,51.1243,578.053,0.0912135,0.333333,0.458333,0.0924608,0.329393,1.12165,-0.00986946,-15.79,1e-05,0.0159182,0.100649,11771.5,0.754724,0.289156,-1,0.2,111.124,1.17965e+06,0.87627,0.872679,1.12079,0.415635,-0.729161
97,63.1074,618.375,0.0918698,0.5,0.5,0.0949361,0.323746,1.08967,-0.0101061,-15.7884,1e-05,0.0174367,0.100658,11769.9,0.758336,0.285683,-1,0.2,112.169,1.19194e+06,1.05708,1.00317,1.19941,0.494719,-0.599015
98,30.0761,407.5,0.0922446,0.0833333,0.333333,0.0948411,0.303371,0.9253,-0.0101594,-15.7868,1e-05,0.0105369,0.100667,12442.8,0.694047,0.293515,-1,0.2,113.158,1.20422e+06,0.585097,0.587545,0.787043,0.274308,-0.730189
99,67.5738,708.619,0.0921857,0.541667,0.333333,0.0944961,0.314092,1.10791,-0.00994242,-15.7854,1e-05,0.0164291,0.100674,11780.1,0.763297,0.279817,-1,0.2,114.202,1.21651e+06,1.16847,1.09104,1.3789,0.502321,-0.762038
100,44.7653,453.429,0.0912104,0.166667,0.416667,0.0974296,0.310472,0.871636,-0.00981753,-15.7843,1e-05,0.0115717,0.10068,12195,0.716595,0.291033,-1,0.2,115.211,1.2288e+06,0.770411,0.750047,0.874958,0.364344,-0.521496
