iteration,Train/mean_reward,Train/mean_episode_length,Train/mean_step_reward,Episode_Termination/time_out,Episode_Termination/fell_over,Metrics/twist/error_vel_xy,Metrics/twist/error_vel_yaw,Loss/value,Loss/surrogate,Loss/entropy,Loss/learning_rate,Loss/kl,Policy/mean_std,Perf/total_fps,Perf/collection_time,Perf/learning_time,Curriculum/action_rate_weight,Curriculum/standing_envs,time_s,env_steps,Episode_Reward/track_linear_velocity,Episode_Reward/track_angular_velocity,Episode_Reward/upright,Episode_Reward/pose,Episode_Reward/action_rate_l2
25,20.5849,321.786,0.0971334,0,0.583333,0.0898843,0.341766,0.781455,-0.0131952,-15.8847,1e-05,0.01859,0.100119,11835.3,0.741508,0.296742,-1,0.2,29.7138,307200,0.548833,0.383384,0.62114,0.18721,-0.711321
26,24.842,389.2,0.0970222,0,0.833333,0.093548,0.336979,0.773809,-0.0110707,-15.8836,1e-05,0.0198896,0.100126,11588.8,0.779732,0.280598,-1,0.2,30.7756,319488,0.671881,0.458198,0.752251,0.219127,-0.859358
27,13.4882,259.111,0.0978978,0,0.375,0.0890201,0.320392,0.825652,-0.0103287,-15.8824,1e-05,0.0237049,0.100133,12908.4,0.683249,0.268688,-1,0.2,31.7287,331776,0.44327,0.287471,0.498819,0.137861,-0.693013
28,11.8839,255,0.0982272,0,0.5,0.0876613,0.30704,0.752221,-0.0103354,-15.8811,1e-05,0.0237983,0.10014,12360.5,0.701571,0.292565,-1,0.2,32.724,344064,0.430656,0.272656,0.489141,0.134087,-0.732343
29,20.4708,330,0.0982916,0,0.583333,0.0858838,0.316154,0.762058,-0.0103796,-15.8799,1e-05,0.0327497,0.100147,10873.3,0.826212,0.303899,-1,0.2,33.8553,356352,0.574425,0.380614,0.634973,0.176242,-0.742716
30,9.96392,214.5,0.101574,0,0.583333,0.0841231,0.282767,0.742649,-0.0106167,-15.8787,1e-05,0.0186987,0.100154,9524.77,0.936265,0.353845,-1,0.2,35.1468,368640,0.355534,0.223078,0.410608,0.10684,-0.597865
31,12.6733,239,0.102719,0,0.375,0.0806654,0.264377,0.671888,-0.00988917,-15.8772,1e-05,0.0224486,0.100163,12637.6,0.698275,0.274065,-1,0.2,36.1209,380928,0.400456,0.254244,0.457755,0.116304,-0.595095
32,29.6372,422.111,0.102802,0,0.375,0.0810652,0.264892,0.716589,-0.0107071,-15.8756,1e-05,0.0149323,0.10017,13111.5,0.660732,0.27646,-1,0.2,37.0593,393216,0.733797,0.539518,0.814105,0.237677,-0.843236
33,22.4945,369.8,0.102331,0,0.416667,0.0800484,0.277425,0.712947,-0.00876897,-15.8746,1e-05,0.0222791,0.100176,11877.5,0.730082,0.304478,-1,0.2,38.095,405504,0.636791,0.431627,0.713003,0.198776,-0.855471
34,27.7589,392.429,0.103551,0,0.291667,0.0776473,0.242756,0.703352,-0.0102444,-15.8733,1e-05,0.0222386,0.100184,12082.4,0.701172,0.315845,-1,0.2,39.1133,417792,0.700826,0.505082,0.762702,0.228645,-0.80931
