iteration,Train/mean_reward,Train/mean_episode_length,Train/mean_step_reward,Episode_Termination/time_out,Episode_Termination/fell_over,Metrics/twist/error_vel_xy,Metrics/twist/error_vel_yaw,Loss/value,Loss/surrogate,Loss/entropy,Loss/learning_rate,Loss/kl,Policy/mean_std,Perf/total_fps,Perf/collection_time,Perf/learning_time,Curriculum/action_rate_weight,Curriculum/standing_envs,time_s,env_steps,Episode_Reward/track_linear_velocity,Episode_Reward/track_angular_velocity,Episode_Reward/upright,Episode_Reward/pose,Episode_Reward/action_rate_l2,Episode_Reward/air_time,Episode_Reward/foot_clearance,Episode_Reward/foot_slip
19,-0.57628,12.5051,-0.045923,0,41.0833,0.275378,1.22162,0.0124182,-0.0149835,24.4914,5.85277e-05,0.0126832,0.942747,4288.05,2.5875,0.278137,-0.1324,0.02648,49.3615,233472,0.00967604,0.00571373,0.0106647,0.00314955,-0.0494597,-0.00801318,-6.81827e-05,-0.000476941
20,-0.548361,12.1845,-0.0451053,0,42.4583,0.276781,1.19507,0.011164,-0.0139964,24.4682,5.85277e-05,0.00903971,0.941499,4828.44,2.27749,0.267432,-0.1342,0.02684,51.9078,245760,0.00935524,0.0058432,0.010365,0.00305313,-0.0482936,-0.00721001,-6.83703e-05,-0.000462659
21,-0.550603,11.9709,-0.0462071,0,43,0.275484,1.19792,0.0116602,-0.0146006,24.4446,5.85277e-05,0.012523,0.940308,4883.05,2.22886,0.287602,-0.136,0.0272,54.4259,258048,0.00931691,0.00570941,0.0101651,0.00295789,-0.0480075,-0.0071405,-6.86074e-05,-0.000462862
22,-0.554956,11.7571,-0.047576,0,44.25,0.272921,1.19251,0.0119278,-0.0125224,24.4219,5.85277e-05,0.0119945,0.939097,4879.2,2.24086,0.277584,-0.1378,0.02756,56.946,270336,0.00919534,0.00567715,0.00995643,0.00286287,-0.0475146,-0.00738701,-6.82453e-05,-0.000469784
23,-0.544257,11.5989,-0.0472402,0,44.25,0.268648,1.18256,0.0119983,-0.0129558,24.3984,5.85277e-05,0.00786085,0.937862,4812.9,2.27648,0.276657,-0.1396,0.02792,59.5007,282624,0.00925456,0.00570512,0.00980103,0.00277713,-0.0475406,-0.00669962,-6.7125e-05,-0.000443381
24,-0.551481,11.4558,-0.0479746,0,44.3333,0.263148,1.17912,0.0121399,-0.0135979,24.3745,5.85277e-05,0.00680582,0.936611,4620.78,2.3964,0.262897,-0.1414,0.02828,62.1621,294912,0.00926756,0.00553575,0.0096646,0.00273867,-0.047542,-0.00671053,-6.67419e-05,-0.000461358
25,-0.542981,11.3269,-0.0477557,0,45,0.259073,1.15796,0.0119527,-0.0119643,24.3501,5.85277e-05,0.00945853,0.935318,4952.96,2.20939,0.271553,-0.1432,0.02864,64.6445,307200,0.00936138,0.00558928,0.00953775,0.00266839,-0.0472335,-0.00655648,-6.63188e-05,-0.000449575
26,-0.533985,11.1266,-0.0481617,0,46.0833,0.258332,1.11633,0.011233,-0.0124956,24.3256,5.85277e-05,0.00546678,0.934083,4820.04,2.28184,0.267518,-0.145,0.029,67.1953,319488,0.00923031,0.00579215,0.00935336,0.00258133,-0.0468619,-0.00627667,-6.60483e-05,-0.000451797
27,-0.532138,11.1321,-0.0477899,0,46.0417,0.252925,1.12156,0.0115829,-0.0135388,24.3018,5.85277e-05,0.00759139,0.932838,4705.16,2.34135,0.270253,-0.1468,0.02936,69.8083,331776,0.00936944,0.00576528,0.00935325,0.00256127,-0.0470887,-0.00605792,-6.50416e-05,-0.000444508
28,-0.552235,11.0825,-0.0503087,0,46.4583,0.254522,1.15485,0.0124771,-0.0121278,24.2774,5.85277e-05,0.00770719,0.931543,3990.51,2.7402,0.339112,-0.1486,0.02972,72.8892,344064,0.00934316,0.0054987,0.00930115,0.00253643,-0.047746,-0.00602422,-6.41173e-05,-0.000456851
29,-0.532389,10.9672,-0.0488806,0,47.0417,0.250248,1.09247,0.0119206,-0.013412,24.2521,5.85277e-05,0.00676998,0.930231,3674.98,2.94869,0.395,-0.1504,0.03008,76.2347,356352,0.00931086,0.0057656,0.00919258,0.00247939,-0.0471016,-0.00574048,-6.25781e-05,-0.000463193
30,-0.544742,10.927,-0.0498235,0,46.7917,0.24561,1.09952,0.011251,-0.0128332,24.2273,5.85277e-05,0.0102519,0.928983,3901.06,2.82475,0.325167,-0.1522,0.03044,79.3866,368640,0.00953665,0.00559086,0.00915287,0.00246306,-0.0477811,-0.00568477,-6.42841e-05,-0.000450424
31,-0.5493,10.7677,-0.0511263,0,47.1667,0.24918,1.10778,0.0119739,-0.0122474,24.2033,5.85277e-05,0.0100133,0.927742,3178.39,3.31591,0.550194,-0.154,0.0308,83.2543,380928,0.00924388,0.00561516,0.00901275,0.00241372,-0.0475039,-0.0057288,-6.49253e-05,-0.000452908
32,-0.553003,10.7074,-0.0514891,0,48.4167,0.245872,1.10115,0.0116825,-0.0121333,24.1793,5.85277e-05,0.00835322,0.926521,2982.44,3.66756,0.452549,-0.1558,0.03116,87.3828,393216,0.00930289,0.00545346,0.00895438,0.00238655,-0.0477555,-0.00546386,-6.30176e-05,-0.000465054
33,-0.550737,10.596,-0.0523181,0,48.1667,0.244049,1.08563,0.0120251,-0.0124042,24.1556,5.85277e-05,0.00795678,0.925285,3385.01,3.29887,0.331251,-0.1576,0.03152,91.0148,405504,0.00933683,0.00555194,0.00884787,0.00235717,-0.0474769,-0.00565225,-6.20653e-05,-0.000439476
34,-0.552316,10.5976,-0.0517076,0,48.6667,0.241936,1.07392,0.0118748,-0.0116548,24.1315,5.85277e-05,0.00860381,0.924056,3426.75,3.17777,0.408132,-0.1594,0.03188,94.6023,417792,0.00929623,0.00565256,0.00883075,0.00232206,-0.0479371,-0.00526027,-6.37176e-05,-0.000456346
35,-0.554421,10.4843,-0.0533915,0,48.9583,0.241794,1.06419,0.0120332,-0.011961,24.1076,5.85277e-05,0.0112248,0.922842,3319.19,3.25867,0.443446,-0.1612,0.03224,98.306,430080,0.00922373,0.00558996,0.00874562,0.0022997,-0.047993,-0.00506979,-6.21052e-05,-0.000455195
36,-0.549335,10.3558,-0.0535617,0,49.4167,0.239903,1.06546,0.011455,-0.0122364,24.0844,5.85277e-05,0.0110123,0.921685,3465.68,3.0618,0.483824,-0.163,0.0326,101.854,442368,0.0092527,0.0054567,0.00862685,0.00225956,-0.0476019,-0.00493929,-6.27744e-05,-0.000458571
37,-0.553882,10.3137,-0.0533787,0,48.875,0.238948,1.03954,0.0119959,-0.0115394,24.0617,5.85277e-05,0.0118785,0.920484,3302.2,3.28825,0.4329,-0.1648,0.03296,105.579,454656,0.00914185,0.00570359,0.00858989,0.00225054,-0.0476611,-0.00521057,-6.07578e-05,-0.00044759
38,-0.572647,10.3262,-0.0560391,0,50.5833,0.238141,1.0577,0.0127742,-0.0134137,24.0384,5.85277e-05,0.0125468,0.91933,3025.58,3.61523,0.446137,-0.1666,0.03332,109.643,466944,0.00929451,0.00556818,0.00859517,0.00224113,-0.0485974,-0.00521911,-6.11912e-05,-0.00045366
39,-0.575919,10.3297,-0.0553132,0,49.5417,0.236414,1.03235,0.0124608,-0.0122081,24.0157,5.85277e-05,0.00789365,0.918137,3217.82,3.39395,0.424781,-0.1684,0.03368,113.463,479232,0.00929148,0.00561414,0.00860955,0.00224414,-0.0487432,-0.00530193,-6.08448e-05,-0.000449299
40,-0.56248,10.2135,-0.0550492,0,49.375,0.232043,1.03591,0.0115898,-0.012475,23.9922,5.85277e-05,0.00904814,0.916959,3228.88,3.42504,0.380617,-0.1702,0.03404,117.271,491520,0.00930322,0.00547853,0.0084982,0.00221707,-0.0479795,-0.00513249,-6.04104e-05,-0.000448592
41,-0.570202,10.22,-0.0570468,0,50.9583,0.234969,1.04322,0.0128239,-0.0135021,23.9691,5.85277e-05,0.00946514,0.915775,3142.6,3.48796,0.422183,-0.172,0.0344,121.183,503808,0.00949801,0.00562346,0.00849872,0.00221591,-0.0487507,-0.00508177,-5.97926e-05,-0.000453861
42,-0.577134,10.0703,-0.0566712,0,51,0.237566,0.999079,0.0121156,-0.0115523,23.9456,5.85277e-05,0.00680441,0.91456,3168.82,3.53093,0.346862,-0.1738,0.03476,125.063,516096,0.00905235,0.00555547,0.00835467,0.00216866,-0.0486891,-0.00479167,-5.89769e-05,-0.000448138
