iteration,Train/mean_reward,Train/mean_episode_length,Train/mean_step_reward,Episode_Termination/time_out,Episode_Termination/fell_over,Metrics/twist/error_vel_xy,Metrics/twist/error_vel_yaw,Loss/value,Loss/surrogate,Loss/entropy,Loss/learning_rate,Loss/kl,Policy/mean_std,Perf/total_fps,Perf/collection_time,Perf/learning_time,Curriculum/action_rate_weight,Curriculum/standing_envs,time_s,env_steps,Episode_Reward/track_linear_velocity,Episode_Reward/track_angular_velocity,Episode_Reward/upright,Episode_Reward/pose,Episode_Reward/action_rate_l2,Episode_Reward/alive,Episode_Reward/air_time,Episode_Reward/single_stance,Episode_Reward/foot_lift,Episode_Reward/foot_alternation,Episode_Reward/foot_symmetry,Episode_Reward/foot_clearance,Episode_Reward/foot_swing_height,Episode_Reward/foot_slip,Episode_Reward/trot,Episode_Reward/joint_torque,Episode_Reward/self_collisions,Episode_Reward/dof_pos_limits,Episode_Reward/body_ang_vel,Episode_Reward/angular_momentum,Episode_Reward/joint_vel,Episode_Reward/undesired_contacts,Episode_Reward/base_height,Episode_Reward/three_stance,Episode_Reward/under_stance,Episode_Reward/all_stance,Episode_Reward/footfall_sequence,Episode_Reward/termination
1011,-25.3745,241.429,-0.0477183,0,0.291667,0.142944,1.24896,0.469607,-0.00805824,2.59068,5.92593e-05,0.00975146,0.300275,12968.4,0.585031,0.362501,-0.1,0.15,8.58895,1.24232e+07,0.0794041,0.00652427,0.134757,0.00759588,-0.0670524,0.241429,-0.0414286,nan,nan,nan,nan,-0.0139534,-0.0628537,-0.0180287,nan,-0.0895591,-0.000714286,-0.0542339,-0.263927,nan,-0.326447,-0.379714,0.324334,0.108571,-0.484,-0.00514286,0.135714,-0.5
1012,-22.2621,243.75,-0.0487958,0,0.333333,0.141023,1.28627,0.674999,-0.00847112,2.59052,5.92593e-05,0.00750731,0.300299,13591.2,0.56821,0.335906,-0.1,0.15,9.49458,1.24355e+07,0.116226,0.00620039,0.14013,0.00874491,-0.066223,0.24375,-0.040325,nan,nan,nan,nan,-0.0114385,-0.0466557,-0.0149548,nan,-0.0887115,0,-0.0556065,-0.258607,nan,-0.314287,-0.346875,0.33478,0.1135,-0.4825,-0.0065,0.15625,-0.5
1013,-25.592,279,-0.0490387,0,0.416667,0.138988,1.26668,0.676512,-0.00890922,2.59144,5.92593e-05,0.00840864,0.300278,14039.1,0.547577,0.327692,-0.1,0.15,10.3712,1.24477e+07,0.0949728,0.0084862,0.160654,0.0101538,-0.0758287,0.279,-0.05046,nan,nan,nan,nan,-0.0151913,-0.0750607,-0.0201474,nan,-0.101829,0,-0.0631961,-0.297329,nan,-0.368758,-0.3978,0.369732,0.136,-0.5708,-0.0122,0.21,-0.5
1014,-27.6297,320.556,-0.0486324,0,0.375,0.144448,1.23261,0.484907,-0.00837662,2.59011,5.92593e-05,0.0127123,0.300266,14448.8,0.554706,0.295743,-0.1,0.15,11.2233,1.246e+07,0.125506,0.00892597,0.183142,0.0100284,-0.0853927,0.320556,-0.0546222,nan,nan,nan,nan,-0.0172343,-0.0796478,-0.0232373,nan,-0.117182,0,-0.0722396,-0.327005,nan,-0.417288,-0.451667,0.432709,0.152444,-0.644,-0.01,0.184722,-0.5
1015,-23.4065,343.6,-0.046399,0,0.208333,0.150207,1.24209,0.388259,-0.00936492,2.58937,5.92593e-05,0.0154686,0.300217,15971,0.513675,0.255718,-0.1,0.15,11.9944,1.24723e+07,0.162598,0.0106599,0.204721,0.0144292,-0.0898495,0.3436,-0.07464,nan,nan,nan,nan,-0.0152069,-0.0578719,-0.0241186,nan,-0.122148,-0.0002,-0.0801042,-0.321908,nan,-0.42149,-0.4362,0.496303,0.2064,-0.6872,-0.0156,0.2375,-0.5
1016,-30.6812,371.8,-0.0433586,0,0.208333,0.144647,1.23274,0.385048,-0.00910338,2.58689,5.92593e-05,0.0141396,0.300146,16527.1,0.488134,0.25537,-0.1,0.15,12.7393,1.24846e+07,0.105009,0.0105583,0.203631,0.013985,-0.101148,0.3718,-0.05644,nan,nan,nan,nan,-0.0207596,-0.100495,-0.0250964,nan,-0.135263,-0.0004,-0.0862996,-0.383266,nan,-0.488115,-0.5532,0.512338,0.1768,-0.7624,-0.0128,0.2975,-0.5
1017,-29.026,388,-0.0434465,0,0.125,0.14736,1.23283,0.238494,-0.00832028,2.58302,5.92593e-05,0.0144897,0.300004,14615.8,0.494075,0.346659,-0.1,0.15,13.5815,1.24969e+07,0.134249,0.0076921,0.231815,0.00988377,-0.105353,0.388,-0.0674,nan,nan,nan,nan,-0.0206502,-0.0993013,-0.030282,nan,-0.142712,-0.001,-0.0873724,-0.415954,nan,-0.498077,-0.575,0.500996,0.182667,-0.778667,-0.014,0.429167,-0.5
1018,-26.5869,346.333,-0.0408472,0,0.125,0.144801,1.23213,0.291502,-0.00897617,2.57688,5.92593e-05,0.0155831,0.299895,12773.7,0.616771,0.345204,-0.1,0.15,14.545,1.25092e+07,0.0873816,0.00711384,0.206102,0.0161911,-0.0930587,0.346333,-0.0635333,nan,nan,nan,nan,-0.0159584,-0.065921,-0.0255053,nan,-0.125031,0,-0.0796555,-0.323989,nan,-0.446973,-0.445,0.51016,0.176,-0.682667,-0.0113333,0.2,-0.5
1019,-30.6545,443,-0.0400824,0,0.166667,0.142519,1.22803,0.309866,-0.00930749,2.5746,5.92593e-05,0.0170648,0.299886,13704.7,0.551177,0.345449,-0.1,0.15,15.4435,1.25215e+07,0.183254,0.0167848,0.267793,0.0093374,-0.116988,0.443,-0.0581,nan,nan,nan,nan,-0.0164255,-0.0777918,-0.0225032,nan,-0.159671,0,-0.102834,-0.439445,nan,-0.561621,-0.59325,0.612609,0.162,-0.858,-0.0115,0.290625,-0.5
1020,-28.1321,416.5,-0.0439619,0,0.333333,0.143402,1.23787,0.316412,-0.00877624,2.57506,5.92593e-05,0.014124,0.299891,13843.8,0.582454,0.305163,-0.1,0.15,16.3325,1.25338e+07,0.209697,0.0101478,0.257592,0.0109098,-0.108909,0.4165,-0.0758,nan,nan,nan,nan,-0.0176263,-0.0802064,-0.0275784,nan,-0.150475,0,-0.096612,-0.416645,nan,-0.508978,-0.572625,0.57238,0.2165,-0.824,-0.0115,0.290625,-0.5
