iteration,Train/mean_reward,Train/mean_episode_length,Train/mean_step_reward,Episode_Termination/time_out,Episode_Termination/fell_over,Metrics/twist/error_vel_xy,Metrics/twist/error_vel_yaw,Loss/value,Loss/surrogate,Loss/entropy,Loss/learning_rate,Loss/kl,Policy/mean_std,Perf/total_fps,Perf/collection_time,Perf/learning_time,Curriculum/action_rate_weight,Curriculum/standing_envs,time_s,env_steps,Episode_Reward/track_linear_velocity,Episode_Reward/track_angular_velocity,Episode_Reward/upright,Episode_Reward/pose,Episode_Reward/action_rate_l2,Episode_Reward/alive,Episode_Reward/air_time,Episode_Reward/single_stance,Episode_Reward/foot_lift,Episode_Reward/foot_clearance,Episode_Reward/foot_swing_height,Episode_Reward/foot_slip,Episode_Reward/self_collisions,Episode_Reward/dof_pos_limits,Episode_Reward/body_ang_vel,Episode_Reward/angular_momentum,Episode_Reward/foot_alternation,Episode_Reward/foot_symmetry,Episode_Reward/trot,Episode_Reward/joint_torque
13,-0.124443,36.5,-0.00291006,0,13.0833,0.329396,1.52907,0.0332387,-0.0140964,24.8103,8.77915e-05,0.0106213,0.959529,9422.76,0.940343,0.363734,-0.1,0.02,17.3895,159744,0.0342673,0.014948,0.0333854,0.0200192,-0.120468,nan,0.00856051,0.0185764,0.00454666,-0.000280272,-0.00164553,-0.000100762,-0.00159873,-0.000586898,-0.0158457,-1.73557e-07,nan,nan,nan,nan
14,-0.0901913,38.1687,-0.00166637,0,13.8333,0.328535,1.54007,0.0395112,-0.011937,24.7853,8.77915e-05,0.0140391,0.958244,10292.4,0.904489,0.2894,-0.1,0.02,18.585,172032,0.0365427,0.0153448,0.0354134,0.020317,-0.125862,nan,0.00961446,0.0195934,0.0049072,-0.000294868,-0.00170452,-0.000104809,-0.00168976,-0.000663879,-0.0159228,-1.74513e-07,nan,nan,nan,nan
15,-0.0928364,38.4498,-0.00228707,0,12.875,0.322335,1.53515,0.0375862,-0.0129352,24.7614,8.77915e-05,0.0155751,0.956978,8755.8,1.04705,0.356361,-0.1,0.02,19.9899,184320,0.0375434,0.015305,0.0360404,0.0209326,-0.125884,nan,0.00817476,0.0197443,0.0043386,-0.000283965,-0.00178474,-0.000106633,-0.00218123,-0.000643237,-0.0158373,-1.72523e-07,nan,nan,nan,nan
16,-0.0731111,38.2559,-0.00194795,0,14.1667,0.334028,1.50764,0.0341109,-0.0125334,24.737,8.77915e-05,0.0112833,0.955602,9688.1,0.925032,0.343328,-0.1,0.02,21.2609,196608,0.0375286,0.0156192,0.0357478,0.0208059,-0.126043,nan,0.009,0.0195059,0.00453061,-0.000305039,-0.0017556,-0.000109484,-0.00155294,-0.00066688,-0.0159601,-1.76993e-07,nan,nan,nan,nan
17,-0.066082,38.055,-0.000208186,0,12.875,0.325258,1.51239,0.0372616,-0.013935,24.7102,8.77915e-05,0.0105353,0.954165,11370.2,0.814995,0.265724,-0.1,0.02,22.3434,208896,0.0365416,0.0153081,0.0355147,0.0207045,-0.123798,nan,0.00915534,0.0197346,0.00463773,-0.000312201,-0.0017095,-0.00010394,-0.00237864,-0.000736252,-0.0158619,-1.73593e-07,nan,nan,nan,nan
18,0.0178953,38.4635,-0.000707297,0,13.125,0.326569,1.52777,0.0366822,-0.0127119,24.6833,8.77915e-05,0.0161089,0.952757,12839.1,0.700834,0.256246,-0.1,0.02,23.3018,221184,0.0372293,0.01554,0.0364875,0.0213049,-0.124739,nan,0.0109238,0.0199333,0.00528533,-0.000366454,-0.001675,-0.000104725,-0.00213333,-0.000896441,-0.015894,-1.79236e-07,nan,nan,nan,nan
19,-0.0139105,38.9634,-0.00044796,0,13.6667,0.33048,1.54269,0.0356842,-0.0125092,24.6567,8.77915e-05,0.0154886,0.951358,12026.8,0.742231,0.279487,-0.1,0.02,24.3249,233472,0.0380525,0.0161967,0.0358664,0.0209341,-0.126637,nan,0.0106646,0.019872,0.00506113,-0.000349646,-0.00164569,-0.000100807,-0.0022378,-0.000829852,-0.0155422,-1.74358e-07,nan,nan,nan,nan
20,0.00445455,38.3645,0.0018709,0,12.9167,0.316087,1.50966,0.0350868,-0.0120105,24.6299,8.77915e-05,0.0148597,0.949902,12623.2,0.71331,0.260137,-0.1,0.02,25.2998,245760,0.0379489,0.0153292,0.0354573,0.0208772,-0.124599,nan,0.0112839,0.0197097,0.00517154,-0.000387707,-0.00160167,-0.000100478,-0.00223871,-0.000897407,-0.0157303,-1.75181e-07,nan,nan,nan,nan
21,0.0687837,38.5719,0.003973,0,13.3333,0.315299,1.51933,0.0375263,-0.0129274,24.6037,8.77915e-05,0.0126155,0.948649,12570.3,0.715944,0.261602,-0.1,0.02,26.2788,258048,0.0380698,0.0156753,0.0353721,0.021071,-0.124448,nan,0.0126188,0.0204906,0.00579509,-0.000429993,-0.00161219,-0.000103367,-0.0022875,-0.000888279,-0.0158844,-1.77767e-07,nan,nan,nan,nan
22,0.142844,39.181,0.00248524,0,13.5833,0.313765,1.51132,0.0414834,-0.012865,24.5807,8.77915e-05,0.0155927,0.947432,12646.8,0.716999,0.254633,-0.1,0.02,27.2519,270336,0.0394695,0.0164565,0.0371229,0.02134,-0.126573,nan,0.0138313,0.0207669,0.00594004,-0.000442528,-0.00156301,-9.95209e-05,-0.00246626,-0.000950625,-0.0156902,-1.74143e-07,nan,nan,nan,nan
