iteration,Train/mean_reward,Train/mean_episode_length,Train/mean_step_reward,Episode_Termination/time_out,Episode_Termination/fell_over,Metrics/twist/error_vel_xy,Metrics/twist/error_vel_yaw,Loss/value,Loss/surrogate,Loss/entropy,Loss/learning_rate,Loss/kl,Policy/mean_std,Perf/total_fps,Perf/collection_time,Perf/learning_time,Curriculum/action_rate_weight,Curriculum/standing_envs,time_s,env_steps,Episode_Reward/track_linear_velocity,Episode_Reward/track_angular_velocity,Episode_Reward/upright,Episode_Reward/pose,Episode_Reward/action_rate_l2,Episode_Reward/alive,Episode_Reward/air_time,Episode_Reward/single_stance,Episode_Reward/foot_lift,Episode_Reward/foot_clearance,Episode_Reward/foot_swing_height,Episode_Reward/foot_slip,Episode_Reward/self_collisions,Episode_Reward/dof_pos_limits,Episode_Reward/body_ang_vel,Episode_Reward/angular_momentum,Episode_Reward/foot_alternation,Episode_Reward/foot_symmetry,Episode_Reward/trot,Episode_Reward/joint_torque
524,32.0267,562.333,0.0713403,0,0.125,0.218543,0.847716,0.142732,-0.0116916,18.2001,5.86667e-05,0.00942587,0.666589,9390.71,0.937769,0.370759,-0.2,0.05,27.7469,6.43891e+06,0.680745,0.479195,0.968503,0.176536,-2.04893,nan,0.515,0.386,0.206612,-0.00503288,-0.00882999,-0.0016366,0,-0.00103104,-0.0507979,-6.63447e-07,nan,nan,nan,nan
525,38.7532,588.5,0.0728147,0,0.0833333,0.220539,0.856034,0.129801,-0.0117125,18.1908,5.86667e-05,0.0107396,0.66622,10848.1,0.774995,0.357733,-0.2,0.05,28.8815,6.4512e+06,0.694777,0.543889,1.02696,0.23225,-2.19021,nan,0.6195,0.4925,0.248694,-0.00625284,-0.0102972,-0.00222975,-0.005,-0.00136311,-0.0505532,-7.20844e-07,nan,nan,nan,nan
526,38.5323,613.2,0.072627,0,0.208333,0.224447,0.856647,0.128402,-0.01212,18.1794,5.86667e-05,0.0125359,0.665767,10443.8,0.785472,0.39111,-0.2,0.05,30.0598,6.46349e+06,0.701115,0.466168,1.05728,0.243493,-2.28733,nan,0.6474,0.501,0.26297,-0.00696691,-0.0126997,-0.00263787,-0.0032,-0.00259433,-0.0543859,-8.35105e-07,nan,nan,nan,nan
527,32.9414,637,0.0737771,0,0.0833333,0.221307,0.843363,0.0990206,-0.0119619,18.1661,5.86667e-05,0.0126479,0.665239,10755.9,0.695719,0.44672,-0.2,0.05,31.204,6.47578e+06,0.864879,0.522494,1.14054,0.202255,-2.34886,nan,0.519,0.408,0.215715,-0.00498297,-0.011416,-0.00216981,0,-0.00113282,-0.0522451,-7.27786e-07,nan,nan,nan,nan
528,42.7514,655,0.0739028,0,0.0833333,0.220459,0.845878,0.0913246,-0.0103988,18.15,5.86667e-05,0.0146024,0.664553,9575.13,0.914522,0.368802,-0.2,0.05,32.4887,6.48806e+06,0.801678,0.494578,1.15044,0.235189,-2.3468,nan,0.684,0.5285,0.278963,-0.00692626,-0.0128577,-0.00229209,0,-0.000846501,-0.0560471,-8.55939e-07,nan,nan,nan,nan
529,37.9311,683,0.0748853,0,0.0416667,0.220465,0.832911,0.103054,-0.0129676,18.1323,5.86667e-05,0.00929976,0.66401,11183.9,0.722473,0.376253,-0.2,0.05,33.5888,6.50035e+06,0.642322,0.54665,1.20417,0.251219,-2.54995,nan,0.717,0.55,0.283685,-0.00700831,-0.0124523,-0.00239025,0,-0.00128322,-0.0554106,-8.74388e-07,nan,nan,nan,nan
530,47.7787,713,0.0747978,0,0.0416667,0.223458,0.850597,0.127754,-0.0111377,18.1183,5.86667e-05,0.0143653,0.663496,10837.1,0.717101,0.416783,-0.2,0.05,34.7244,6.51264e+06,0.859671,0.553417,1.25329,0.286258,-2.65224,nan,0.786,0.593,0.319788,-0.00753779,-0.0141748,-0.00264408,-0.004,-0.00164293,-0.0602516,-8.76887e-07,nan,nan,nan,nan
531,49.3676,737.5,0.0754164,0,0.0833333,0.222806,0.836715,0.103345,-0.0108306,18.1042,5.86667e-05,0.0090109,0.662966,9444.34,0.908304,0.392793,-0.2,0.05,36.0272,6.52493e+06,0.97368,0.635014,1.29417,0.292831,-2.72456,nan,0.783,0.6015,0.308713,-0.0076266,-0.014357,-0.00249086,-0.056,-0.0022663,-0.0632286,-1.00174e-06,nan,nan,nan,nan
532,48.9889,746,0.0731352,0,0.0833333,0.223058,0.848366,0.1277,-0.0114651,18.0896,5.86667e-05,0.0151426,0.662469,10739.6,0.802775,0.341402,-0.2,0.05,37.1729,6.53722e+06,0.903125,0.557342,1.29163,0.286496,-2.76865,nan,0.795,0.621,0.32151,-0.00765008,-0.0139848,-0.0030341,0,-0.00228546,-0.0710518,-9.15198e-07,nan,nan,nan,nan
533,49.5466,777.4,0.0748701,0,0.208333,0.227052,0.846353,0.0912157,-0.0112291,18.0772,5.86667e-05,0.00566264,0.662034,11861.9,0.661673,0.374252,-0.2,0.05,38.2104,6.5495e+06,0.932778,0.622507,1.36671,0.300247,-2.87779,nan,0.8388,0.6418,0.339296,-0.00860472,-0.015265,-0.00309846,0,-0.00103352,-0.0670121,-1.04973e-06,nan,nan,nan,nan
534,45.8785,794.5,0.0764563,0,0.0833333,0.222349,0.82757,0.0968577,-0.0106265,18.0657,5.86667e-05,0.0110529,0.661653,10102.6,0.852335,0.363987,-0.2,0.05,39.4283,6.56179e+06,1.05278,0.642444,1.39944,0.258417,-2.87876,nan,0.765,0.565,0.310707,-0.00742799,-0.0141192,-0.00267141,0,-0.00111586,-0.065774,-1.03167e-06,nan,nan,nan,nan
535,58.4264,836,0.0758021,0,0.0416667,0.223732,0.841124,0.0986659,-0.0104357,18.0546,5.86667e-05,0.00958401,0.661188,10701.5,0.73362,0.414632,-0.2,0.05,40.5784,6.57408e+06,1.02293,0.641518,1.49196,0.329261,-3.09293,nan,0.903,0.7,0.363422,-0.0089848,-0.016452,-0.00297974,-0.004,-0.00421591,-0.0762016,-1.24558e-06,nan,nan,nan,nan
536,55.1566,841,0.076627,0,0.0416667,0.227068,0.838372,0.139054,-0.0110285,18.0415,5.86667e-05,0.012124,0.660732,10984.4,0.762348,0.356326,-0.2,0.05,41.6986,6.58637e+06,0.986814,0.698452,1.49108,0.315309,-3.11528,nan,0.9,0.692,0.364995,-0.00841869,-0.0154431,-0.00274129,0,-0.00240144,-0.0715335,-9.72686e-07,nan,nan,nan,nan
537,49.1867,683.333,0.0765644,0,0.125,0.228139,0.838571,0.146555,-0.011417,18.0302,5.86667e-05,0.0147441,0.660364,11153.7,0.756693,0.345007,-0.2,0.05,42.8023,6.59866e+06,0.882918,0.561218,1.18533,0.271433,-2.52191,nan,0.735,0.581,0.291499,-0.00796108,-0.0129866,-0.00280432,-0.00133333,-0.00296321,-0.0691085,-1.05357e-06,nan,nan,nan,nan
538,59.3806,904.2,0.0769054,0,0.208333,0.228447,0.841297,0.159017,-0.0112214,18.021,5.86667e-05,0.00998961,0.660084,10460.5,0.840842,0.333864,-0.2,0.05,43.9785,6.61094e+06,1.15945,0.72239,1.59198,0.346252,-3.28607,nan,0.9282,0.718,0.358515,-0.00929502,-0.01456,-0.00296068,-0.0052,-0.00323144,-0.0714514,-1.10864e-06,nan,nan,nan,nan
539,58.1688,923.667,0.0758999,0,0.25,0.224178,0.843424,0.122222,-0.0103228,18.013,5.86667e-05,0.0100753,0.659736,11706.8,0.6773,0.372344,-0.2,0.05,45.0295,6.62323e+06,1.20213,0.738225,1.617,0.322722,-3.3851,nan,0.8835,0.679333,0.351516,-0.00824821,-0.0140701,-0.00303829,-0.00816667,-0.0038266,-0.0710479,-1.09797e-06,nan,nan,nan,nan
540,67.8054,951,0.0760858,0,0.0416667,0.218817,0.822557,0.103147,-0.01153,18.002,5.86667e-05,0.00935501,0.659299,9864.23,0.888915,0.356798,-0.2,0.05,46.2768,6.63552e+06,1.13588,0.748825,1.64092,0.34484,-3.45949,nan,1.053,0.802,0.417776,-0.0106353,-0.0191512,-0.00298415,0,-0.00270488,-0.0830138,-1.18326e-06,nan,nan,nan,nan
541,67.7429,965,0.0756471,0,0.0416667,0.220072,0.824466,0.11618,-0.0123954,17.9891,5.86667e-05,0.0113685,0.658804,11876.7,0.728401,0.30623,-0.2,0.05,47.3129,6.64781e+06,1.1867,0.750545,1.69618,0.368387,-3.55673,nan,1.035,0.812,0.407988,-0.0108763,-0.0175484,-0.00381385,0,-0.0038059,-0.0868792,-1.38749e-06,nan,nan,nan,nan
542,69.428,998.691,0.0660952,18.0417,0.166667,0.216398,0.831043,0.0613419,-0.00972128,17.9758,5.86667e-05,0.0113836,0.658315,9929.18,0.885149,0.352415,-0.2,0.05,48.5516,6.6601e+06,1.23877,0.835091,1.80877,0.374963,-3.63934,nan,1.03397,0.804462,0.418826,-0.0096061,-0.0176698,-0.00349314,-0.00324714,-0.00283053,-0.0631776,-1.01697e-06,nan,nan,nan,nan
543,nan,nan,0.0693065,0,0,0.212143,0.805532,0.0559025,-0.011097,17.961,5.86667e-05,0.00716217,0.657704,10815.4,0.791103,0.345059,-0.2,0.05,49.6893,6.67238e+06,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
544,77.7387,1000,0.0783239,0.0416667,0,0.216188,0.816621,0.108115,-0.0121499,17.9438,5.86667e-05,0.00932905,0.65712,10893.9,0.740633,0.387338,-0.2,0.05,50.8186,6.68467e+06,1.25806,0.829867,1.82469,0.437158,-3.60113,nan,1.032,0.848,0.407572,-0.00996732,-0.0191586,-0.00320617,0,-0.00231503,-0.0596352,-9.43014e-07,nan,nan,nan,nan
545,48.0256,886,0.0797605,0,0.0416667,0.216029,0.809185,0.0962288,-0.0113833,17.9282,5.86667e-05,0.0116757,0.656547,9930.58,0.857697,0.379693,-0.2,0.05,52.058,6.69696e+06,1.26723,0.75184,1.57167,0.244247,-3.26706,nan,0.633,0.504,0.253526,-0.00682203,-0.00970965,-0.00232371,0,-0.0059435,-0.0723733,-1.07856e-06,nan,nan,nan,nan
546,25.7925,389.667,0.0757583,0.0416667,0.0833333,0.220124,0.82159,0.0814319,-0.0111993,17.913,5.86667e-05,0.0137331,0.656039,8932.69,0.919283,0.456339,-0.2,0.05,53.4353,6.70925e+06,0.43906,0.289522,0.670054,0.153214,-1.39872,nan,0.388,0.327667,0.15586,-0.00433125,-0.00715971,-0.0013387,-0.00133333,-0.0014269,-0.0344379,-4.90125e-07,nan,nan,nan,nan
547,37.8181,537.667,0.0786797,0.0416667,0.0833333,0.216527,0.803805,0.0726528,-0.00977532,17.8998,5.86667e-05,0.0122378,0.65557,11093.7,0.792443,0.315214,-0.2,0.05,54.5445,6.72154e+06,0.616029,0.443522,0.93203,0.205574,-1.95265,nan,0.58,0.448667,0.236745,-0.00565015,-0.0105554,-0.00199075,0,-0.00159884,-0.0492117,-6.9258e-07,nan,nan,nan,nan
548,35.8776,565.5,0.0779286,0.0416667,0.0416667,0.216327,0.816402,0.0690715,-0.0109995,17.8858,5.86667e-05,0.0126908,0.655016,13502.7,0.635857,0.274181,-0.2,0.05,55.4557,6.73382e+06,0.78683,0.489583,0.990346,0.184379,-2.05367,nan,0.4815,0.387,0.190242,-0.00497116,-0.00854416,-0.00153537,0,-0.0019108,-0.0428703,-7.19323e-07,nan,nan,nan,nan
549,30.9102,409,0.0775957,0,0.0416667,0.219064,0.813936,0.125117,-0.0108931,17.8717,5.86667e-05,0.00909968,0.65462,14875.4,0.557934,0.268127,-0.2,0.05,56.2834,6.74611e+06,0.442414,0.357613,0.683523,0.150955,-1.51174,nan,0.426,0.357,0.185895,-0.0039163,-0.00910776,-0.00164232,-0.002,-0.000459536,-0.0390292,-5.51883e-07,nan,nan,nan,nan
550,12.0474,200,0.0768791,0,0.0416667,0.22138,0.816932,0.112728,-0.0113793,17.8618,5.86667e-05,0.0148286,0.654269,14715.1,0.573757,0.261306,-0.2,0.05,57.1198,6.7584e+06,0.222212,0.153862,0.315397,0.0873579,-0.707898,nan,0.204,0.161,0.0688018,-0.00325881,-0.00424686,-0.000774183,0,-0.0011496,-0.0279335,-5.258e-07,nan,nan,nan,nan
551,45.6189,639,0.078757,0.125,0.125,0.220095,0.813242,0.113247,-0.0102011,17.8517,5.86667e-05,0.00750005,0.65394,15346.8,0.538765,0.261921,-0.2,0.05,57.9219,6.77069e+06,0.718322,0.514231,1.13281,0.239726,-2.28853,nan,0.673,0.5285,0.26534,-0.00605164,-0.00996733,-0.00214073,-0.000833333,-0.00251257,-0.0484545,-6.93545e-07,nan,nan,nan,nan
552,14.0661,236,0.0799172,0,0.0833333,0.218689,0.8156,0.0846072,-0.0105058,17.8419,5.86667e-05,0.0127,0.653532,15234.3,0.547197,0.259406,-0.2,0.05,58.7299,6.78298e+06,0.267096,0.159441,0.377303,0.0908391,-0.828281,nan,0.2325,0.1875,0.0900242,-0.00266033,-0.00382754,-0.000734961,-0.002,-0.00119037,-0.0352031,-4.07524e-07,nan,nan,nan,nan
553,71.0482,968.5,0.0795148,0.125,0.0416667,0.21908,0.819231,0.0976895,-0.0115548,17.8295,5.86667e-05,0.0098578,0.653073,15319.5,0.541984,0.260132,-0.2,0.05,59.5333,6.79526e+06,1.19422,0.788576,1.73533,0.359559,-3.3996,nan,0.9615,0.775,0.386976,-0.00868731,-0.0152496,-0.00300907,-0.007,-0.00480523,-0.0653988,-1.00308e-06,nan,nan,nan,nan
554,nan,nan,0.0804868,0,0,0.219182,0.813116,0.0754659,-0.0102875,17.8168,5.86667e-05,0.00960766,0.652596,14806.7,0.570796,0.259096,-0.2,0.05,60.3647,6.80755e+06,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
555,45.8408,656.5,0.0803889,0.0416667,0.0416667,0.218835,0.811748,0.0759104,-0.0104151,17.8023,5.86667e-05,0.0112828,0.652033,15552.6,0.533972,0.25612,-0.2,0.05,61.1561,6.81984e+06,0.757121,0.485144,1.14244,0.239449,-2.38822,nan,0.7065,0.5565,0.28623,-0.00662907,-0.0120375,-0.00207192,-0.006,-0.00323641,-0.0481493,-7.70493e-07,nan,nan,nan,nan
556,25.0934,340,0.0808807,0,0.0833333,0.219511,0.800711,0.0740451,-0.00972434,17.7864,5.86667e-05,0.0064307,0.651493,15672.6,0.528013,0.25603,-0.2,0.05,61.9415,6.83213e+06,0.400385,0.273777,0.571163,0.12494,-1.16334,nan,0.3315,0.2815,0.134095,-0.00345172,-0.00520052,-0.000990894,0,-0.000427648,-0.0417723,-4.74231e-07,nan,nan,nan,nan
557,82.5627,1000,0.0803794,0.0416667,0,0.220867,0.80636,0.090547,-0.0106606,17.7716,5.86667e-05,0.00548078,0.650957,14943,0.562828,0.259494,-0.2,0.05,62.7651,6.84442e+06,1.21729,0.775447,1.80572,0.376936,-3.49007,nan,1.077,0.87,0.448624,-0.00974904,-0.017531,-0.00351298,-0.005,-0.00477809,-0.0672358,-1.04887e-06,nan,nan,nan,nan
558,21.7155,373.5,0.0806828,0,0.0833333,0.220731,0.799326,0.0808605,-0.0109632,17.7583,5.86667e-05,0.0128315,0.650551,14103.4,0.612548,0.258733,-0.2,0.05,63.6379,6.8567e+06,0.524083,0.29712,0.613156,0.0983415,-1.31059,nan,0.264,0.2205,0.103126,-0.00313766,-0.00434675,-0.0007547,-0.0045,-0.00202003,-0.0392004,-5.1263e-07,nan,nan,nan,nan
559,85.7239,1000,0.0825905,0.0416667,0,0.225289,0.791602,0.107936,-0.0101548,17.7481,5.86667e-05,0.013198,0.65024,15429.8,0.536538,0.259843,-0.2,0.05,64.4357,6.86899e+06,1.40121,0.842929,1.81982,0.3941,-3.55825,nan,1.068,0.878,0.443207,-0.00954095,-0.0151873,-0.00387211,-0.008,-0.00425134,-0.0719643,-1.14065e-06,nan,nan,nan,nan
560,27.5326,423.25,0.0830333,0,0.166667,0.22443,0.807966,0.0982105,-0.00981236,17.7393,5.86667e-05,0.0112382,0.649874,14844,0.572096,0.255712,-0.2,0.05,65.2649,6.88128e+06,0.535918,0.353049,0.714959,0.140815,-1.48256,nan,0.354,0.29625,0.139457,-0.00380369,-0.00554747,-0.00112512,-0.001,-0.00239428,-0.0401408,-6.35224e-07,nan,nan,nan,nan
561,62.722,870.333,0.0807604,0.166667,0.0833333,0.225458,0.803016,0.146505,-0.010011,17.7292,5.86667e-05,0.0127236,0.649584,15493.3,0.536732,0.256384,-0.2,0.05,66.0595,6.89357e+06,0.99445,0.720999,1.55497,0.30951,-3.06311,nan,0.8555,0.6945,0.341873,-0.00798593,-0.0132717,-0.00258205,-0.006,-0.0032099,-0.0620476,-9.35295e-07,nan,nan,nan,nan
562,45.5294,689.2,0.0792205,0.0833333,0.125,0.225367,0.819948,0.116242,-0.0111559,17.7207,5.86667e-05,0.0138208,0.64922,14964.2,0.549259,0.271901,-0.2,0.05,66.8818,6.90586e+06,0.850669,0.592588,1.22092,0.218387,-2.41516,nan,0.6012,0.478,0.237573,-0.00583537,-0.00810177,-0.0020163,-0.0044,-0.00324426,-0.0541096,-8.29398e-07,nan,nan,nan,nan
563,61.6892,837.333,0.0809046,0.0833333,0.0416667,0.227585,0.80456,0.131625,-0.0113908,17.7102,5.86667e-05,0.00786667,0.648898,15581.9,0.532566,0.256041,-0.2,0.05,67.6718,6.91814e+06,0.986689,0.718733,1.47633,0.290246,-2.9376,nan,0.831,0.662333,0.338023,-0.00771244,-0.0136252,-0.00247643,-0.004,-0.00466571,-0.0588124,-9.05355e-07,nan,nan,nan,nan
564,60.5799,764.5,0.0804384,0.125,0.125,0.223225,0.805227,0.105461,-0.0107143,17.7016,5.86667e-05,0.00744098,0.648558,15067.1,0.552376,0.263176,-0.2,0.05,68.4888,6.93043e+06,0.938317,0.644589,1.35222,0.291149,-2.66771,nan,0.81,0.656667,0.327714,-0.00756476,-0.012765,-0.00272714,-0.007,-0.00403427,-0.0573595,-8.85181e-07,nan,nan,nan,nan
565,67.9086,885.5,0.081057,0.25,0.0833333,0.221811,0.805727,0.0763799,-0.0106541,17.6914,5.86667e-05,0.0132971,0.648216,15112.8,0.551468,0.261617,-0.2,0.05,69.3033,6.94272e+06,1.08544,0.747112,1.58681,0.330617,-3.10725,nan,0.9,0.72975,0.374573,-0.00817705,-0.0142784,-0.0030016,-0.002,-0.00332254,-0.0608361,-9.65159e-07,nan,nan,nan,nan
566,80.9445,1000,0.0806059,0.0833333,0,0.222902,0.795531,0.117774,-0.0119943,17.681,5.86667e-05,0.0110866,0.647787,15023.1,0.548397,0.269544,-0.2,0.05,70.1227,6.95501e+06,1.15389,0.798691,1.77406,0.381784,-3.51407,nan,1.083,0.884,0.453736,-0.00983314,-0.0153754,-0.0034875,0,-0.00629257,-0.0728802,-1.17181e-06,nan,nan,nan,nan
567,64.9141,836.6,0.0802942,0.125,0.0833333,0.222387,0.805917,0.101006,-0.0115814,17.6683,5.86667e-05,0.00992764,0.647334,15008.4,0.560356,0.258387,-0.2,0.05,70.9429,6.9673e+06,0.984855,0.692871,1.48895,0.323456,-2.93235,nan,0.8916,0.7126,0.358265,-0.00812458,-0.0142729,-0.00276158,-0.0036,-0.00439953,-0.0633776,-9.7876e-07,nan,nan,nan,nan
568,62.2409,781.5,0.0807097,0.125,0.125,0.220357,0.805472,0.088366,-0.0112923,17.6558,5.86667e-05,0.0165604,0.646901,14125,0.599023,0.270922,-0.2,0.05,71.8144,6.97958e+06,1.01659,0.660332,1.39375,0.291027,-2.72703,nan,0.784,0.6475,0.319014,-0.00745356,-0.0116715,-0.00251157,-0.00516667,-0.00391117,-0.059928,-9.0755e-07,nan,nan,nan,nan
569,64.4802,804.667,0.079716,0.0833333,0.0416667,0.219467,0.803424,0.13124,-0.0106578,17.6443,5.86667e-05,0.0106322,0.64655,11621.1,0.645171,0.412219,-0.2,0.05,72.8734,6.99187e+06,0.969681,0.706504,1.44813,0.314862,-2.77791,nan,0.835,0.688,0.335411,-0.00740708,-0.0120175,-0.00237464,-0.00433333,-0.00284559,-0.0566944,-8.14246e-07,nan,nan,nan,nan
570,52.2235,670,0.080035,0.0416667,0.0833333,0.221272,0.786467,0.0850359,-0.0120234,17.6348,5.86667e-05,0.00772287,0.646185,9611.25,0.923985,0.354516,-0.2,0.05,74.1539,7.00416e+06,0.842729,0.557545,1.17823,0.245793,-2.29758,nan,0.728,0.567667,0.291836,-0.00644361,-0.0104776,-0.00214062,-0.0206667,-0.00241761,-0.0458984,-7.35535e-07,nan,nan,nan,nan
571,nan,nan,0.0810874,0,0,0.219546,0.796129,0.125823,-0.0102953,17.6233,5.86667e-05,0.0114516,0.64575,10867.5,0.766268,0.364447,-0.2,0.05,75.2859,7.01645e+06,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
572,49.0657,668.75,0.0799121,0.0416667,0.125,0.220797,0.786026,0.107354,-0.0120449,17.6108,5.86667e-05,0.0151514,0.645288,11226.8,0.729495,0.36503,-0.2,0.05,76.3817,7.02874e+06,0.831578,0.566184,1.15196,0.227117,-2.3159,nan,0.65175,0.519,0.253596,-0.00610032,-0.00942677,-0.00194837,-0.003,-0.00411696,-0.0561547,-7.84748e-07,nan,nan,nan,nan
573,62.7213,867,0.0797363,0.125,0.125,0.223623,0.798709,0.0982328,-0.0117449,17.5982,5.86667e-05,0.0132264,0.644849,9973.8,0.858509,0.373519,-0.2,0.05,77.615,7.04102e+06,1.0576,0.74566,1.53041,0.285855,-3.0001,nan,0.796,0.654833,0.326491,-0.00749165,-0.0116961,-0.00266455,-0.0035,-0.00304273,-0.0622881,-9.64649e-07,nan,nan,nan,nan
574,74.5292,922.75,0.0813333,0.0833333,0.0833333,0.224136,0.775683,0.0827374,-0.00924992,17.5872,5.86667e-05,0.0144025,0.644501,10125.9,0.809191,0.40433,-0.2,0.05,78.8303,7.05331e+06,1.15956,0.773094,1.63603,0.339143,-3.18133,nan,0.9675,0.7965,0.403255,-0.00882872,-0.0155672,-0.00283572,-0.008,-0.00426298,-0.06529,-9.94105e-07,nan,nan,nan,nan
575,75.1664,947.75,0.0818925,0.125,0.0416667,0.22136,0.77897,0.0916987,-0.0114602,17.5776,5.86667e-05,0.011,0.644163,9957.21,0.837393,0.396688,-0.2,0.05,80.066,7.0656e+06,1.22584,0.811219,1.70995,0.331595,-3.24192,nan,0.933,0.7545,0.375241,-0.00853757,-0.0137588,-0.0029305,-0.00675,-0.00481952,-0.064311,-9.91884e-07,nan,nan,nan,nan
576,47.0542,805,0.0808047,0,0.0416667,0.222121,0.794309,0.115956,-0.0102734,17.5683,5.86667e-05,0.0141144,0.643867,10337.1,0.811883,0.37684,-0.2,0.05,81.2561,7.07789e+06,1.21584,0.682562,1.43872,0.211319,-2.79635,nan,0.555,0.451,0.213883,-0.00489925,-0.00835008,-0.00163751,0,-0.00364665,-0.0657248,-9.73686e-07,nan,nan,nan,nan
577,60.879,877.25,0.0813935,0.0416667,0.125,0.218526,0.773755,0.104516,-0.0109772,17.5597,5.86667e-05,0.00708823,0.643523,10665.2,0.7964,0.355754,-0.2,0.05,82.4094,7.09018e+06,1.0715,0.764055,1.54316,0.261771,-2.98815,nan,0.77175,0.62275,0.304104,-0.00747367,-0.0107202,-0.00226976,-0.02675,-0.0037049,-0.069822,-1.03775e-06,nan,nan,nan,nan
578,65.8526,908,0.0828814,0.0416667,0.0833333,0.217969,0.771901,0.0960136,-0.0109272,17.5496,5.86667e-05,0.0183297,0.643165,12589.2,0.675133,0.300939,-0.2,0.05,83.3868,7.10246e+06,1.00944,0.789141,1.58989,0.301494,-3.09549,nan,0.872,0.709667,0.353125,-0.00788349,-0.0123492,-0.002499,-0.002,-0.00326339,-0.073645,-1.07291e-06,nan,nan,nan,nan
579,77.6851,954.8,0.0818428,0.125,0.0833333,0.222598,0.783254,0.108864,-0.0098726,17.5399,5.86667e-05,0.0072499,0.642835,13924.8,0.570125,0.31233,-0.2,0.05,84.2707,7.11475e+06,1.18192,0.824518,1.68814,0.353878,-3.27235,nan,1.0218,0.826,0.414122,-0.00887763,-0.0150875,-0.00304644,-0.0072,-0.00393155,-0.0696364,-1.01078e-06,nan,nan,nan,nan
580,74.331,976.375,0.0816337,0.25,0.0833333,0.219617,0.767085,0.0902694,-0.0113464,17.5292,5.86667e-05,0.0119804,0.642339,9279.38,0.949594,0.374632,-0.2,0.05,85.5962,7.12704e+06,1.12724,0.82122,1.75491,0.35188,-3.32644,nan,0.9885,0.792875,0.393905,-0.00870442,-0.0138216,-0.00290942,-0.005375,-0.00392028,-0.0640581,-1.0024e-06,nan,nan,nan,nan
581,78.2498,984.8,0.0817996,0.166667,0.0416667,0.218201,0.78388,0.0827931,-0.0105524,17.5142,5.86667e-05,0.0100749,0.64182,10049.5,0.800978,0.421773,-0.2,0.05,86.8207,7.13933e+06,1.236,0.827147,1.76306,0.371543,-3.33994,nan,0.978,0.821,0.388972,-0.00916794,-0.0153432,-0.00313872,-0.083,-0.00508197,-0.0675615,-1.04716e-06,nan,nan,nan,nan
582,78.1308,986.667,0.0815803,0.0833333,0.0416667,0.218156,0.788559,0.0678477,-0.0105635,17.4997,8.8e-05,0.0040652,0.641287,11403.9,0.78894,0.288588,-0.2,0.05,87.8995,7.15162e+06,1.13083,0.864043,1.7472,0.369947,-3.36208,nan,1.037,0.850667,0.415074,-0.00941943,-0.0155372,-0.00314528,-0.00666667,-0.00414775,-0.0672319,-1.05734e-06,nan,nan,nan,nan
583,76.3879,1000,0.0816885,0.0416667,0,0.219926,0.778551,0.0652024,-0.0124734,17.48,8.8e-05,0.0103931,0.640457,13268.3,0.582884,0.343231,-0.2,0.05,88.8271,7.1639e+06,1.14392,0.779983,1.81464,0.359208,-3.40691,nan,1.071,0.845,0.441416,-0.00905525,-0.0167687,-0.00315792,-0.004,-0.00250427,-0.0633771,-9.40025e-07,nan,nan,nan,nan
584,80.4833,1000,0.0720531,16.0417,0,0.210017,0.759957,0.0392172,-0.0161614,17.4544,8.8e-05,0.0185017,0.639443,8363.09,1.02118,0.448129,-0.2,0.05,90.2981,7.17619e+06,1.23434,0.862873,1.80578,0.357825,-3.40308,nan,1.02415,0.826358,0.414798,-0.0088193,-0.014718,-0.00303948,-0.00535065,-0.00375465,-0.0638331,-9.96696e-07,nan,nan,nan,nan
585,27.5474,698,0.0787997,0,0.0416667,0.21908,0.786652,0.0826652,-0.0125132,17.428,8.8e-05,0.0132527,0.638659,8082.84,0.90879,0.611468,-0.2,0.05,91.8205,7.18848e+06,0.994808,0.602629,1.18408,0.129127,-2.2881,nan,0.249,0.256,0.0979904,-0.002658,-0.0075495,-0.000841125,-0.014,-0.00468663,-0.0584289,-8.1334e-07,nan,nan,nan,nan
586,77.7146,981.667,0.082068,0.0833333,0.0416667,0.21693,0.767594,0.142512,-0.0116246,17.4104,8.8e-05,0.0125311,0.638183,9976.42,0.868139,0.363565,-0.2,0.05,93.0543,7.20077e+06,0.988938,0.852084,1.76121,0.347629,-3.33592,nan,1.052,0.843667,0.432413,-0.00864155,-0.0145012,-0.00312193,-0.00933333,-0.00384962,-0.0668423,-1.04788e-06,nan,nan,nan,nan
587,72.279,869,0.0836986,0.125,0.0416667,0.215691,0.759686,0.113442,-0.0117245,17.398,8.8e-05,0.0177185,0.637735,11744.5,0.698695,0.347579,-0.2,0.05,94.102,7.21306e+06,1.02263,0.766188,1.55683,0.309783,-2.93123,nan,0.96075,0.75025,0.380266,-0.00817394,-0.0137248,-0.00258446,-0.00775,-0.0035825,-0.0582021,-8.92412e-07,nan,nan,nan,nan
