iteration,Train/mean_reward,Train/mean_episode_length,Train/mean_step_reward,Episode_Termination/time_out,Episode_Termination/fell_over,Metrics/twist/error_vel_xy,Metrics/twist/error_vel_yaw,Loss/value,Loss/surrogate,Loss/entropy,Loss/learning_rate,Loss/kl,Policy/mean_std,Perf/total_fps,Perf/collection_time,Perf/learning_time,Curriculum/action_rate_weight,Curriculum/standing_envs,time_s,env_steps,Episode_Reward/track_linear_velocity,Episode_Reward/track_angular_velocity,Episode_Reward/upright,Episode_Reward/pose,Episode_Reward/action_rate_l2,Episode_Reward/alive,Episode_Reward/air_time,Episode_Reward/single_stance,Episode_Reward/foot_lift,Episode_Reward/foot_alternation,Episode_Reward/foot_symmetry,Episode_Reward/foot_clearance,Episode_Reward/foot_swing_height,Episode_Reward/foot_slip,Episode_Reward/trot,Episode_Reward/joint_torque,Episode_Reward/self_collisions,Episode_Reward/dof_pos_limits,Episode_Reward/body_ang_vel,Episode_Reward/angular_momentum,Episode_Reward/base_height,Episode_Reward/three_stance,Episode_Reward/all_stance,Episode_Reward/footfall_sequence
612,14.5093,249.5,0.0618878,0,0.0833333,0.141279,1.18411,0.240232,-0.00919033,4.38914,8.88889e-05,0.00773573,0.348818,13358.8,0.579124,0.340721,-0.2,0.05,10.6373,7.52026e+06,0.166451,0.00492051,0.181282,0.00338782,-0.149694,0.2495,0.06585,nan,nan,nan,nan,-0.0144988,-0.0346664,-0.00660419,nan,-0.101482,-0.0005,-0.013763,-0.198258,nan,0.00954091,0.017,-0.003,0.55
613,17.3884,291.2,0.0580684,0,0.208333,0.140025,1.21228,0.251805,-0.0109827,4.38821,8.88889e-05,0.0141573,0.348782,13355.2,0.526232,0.39386,-0.2,0.05,11.5586,7.53254e+06,0.153755,0.0110606,0.22372,0.00401466,-0.177907,0.2912,0.07492,nan,nan,nan,nan,-0.0129526,-0.0434238,-0.00777257,nan,-0.115626,-0.0002,-0.016542,-0.220521,nan,0.00829295,0.0264,-0.004,0.675
614,13.081,325,0.0590922,0,0.0416667,0.143712,1.19272,0.221096,-0.0107318,4.38656,8.88889e-05,0.0107447,0.348726,13049.5,0.603752,0.337894,-0.2,0.05,12.5016,7.54483e+06,0.0361496,0.0161464,0.248548,0.00408449,-0.199535,0.325,0.0821,nan,nan,nan,nan,-0.0146836,-0.0469201,-0.00664965,nan,-0.130481,0,-0.0175075,-0.26165,nan,0.00544823,0.018,-0.004,0.6
615,20.1976,344,0.0602865,0,0.125,0.145428,1.18885,0.210158,-0.0104689,4.38436,8.88889e-05,0.0171756,0.348658,14113.6,0.522427,0.348225,-0.2,0.05,13.3738,7.55712e+06,0.0913802,0.0137906,0.285087,0.00450547,-0.207084,0.344,0.0881333,nan,nan,nan,nan,-0.0148586,-0.0513272,-0.0097351,nan,-0.137758,0,-0.0153092,-0.242425,nan,0.00598279,0.038,-0.00333333,0.820833
616,23.757,373,0.0580493,0,0.0416667,0.146461,1.17061,0.234925,-0.0106848,4.38112,8.88889e-05,0.0186301,0.348532,13447.7,0.592469,0.32129,-0.2,0.05,14.2892,7.56941e+06,0.106795,0.0178138,0.286856,0.00532611,-0.232942,0.373,0.092,nan,nan,nan,nan,-0.0178034,-0.0548874,-0.00934313,nan,-0.149893,0,-0.0227276,-0.287778,nan,0.00843314,0.05,-0.002,1.025
617,20.5745,388.333,0.0630552,0,0.125,0.146864,1.18246,0.216251,-0.0100839,4.37674,8.88889e-05,0.0114395,0.348398,14117.9,0.51628,0.354102,-0.2,0.05,15.1609,7.5817e+06,0.153387,0.0178071,0.30548,0.00571226,-0.235603,0.388333,0.0906333,nan,nan,nan,nan,-0.0164776,-0.047409,-0.0106661,nan,-0.153883,-0.00166667,-0.0209061,-0.301182,nan,0.00766516,0.048,-0.00466667,0.804167
618,28.283,353,0.0584056,0,0.0833333,0.148265,1.17749,0.240025,-0.0115029,4.37259,8.88889e-05,0.0120512,0.34833,13714.4,0.540292,0.355699,-0.2,0.05,16.0582,7.59398e+06,0.141949,0.0131767,0.28589,0.00499645,-0.214062,0.353,0.0802,nan,nan,nan,nan,-0.0153761,-0.0531615,-0.010078,nan,-0.142582,0,-0.0156939,-0.272274,nan,0.0116629,0.039,-0.005,1.2125
619,21.8749,369,0.0633345,0,0.125,0.145877,1.18238,0.241335,-0.00903003,4.37132,8.88889e-05,0.00944732,0.348301,13775.6,0.542405,0.349609,-0.2,0.05,16.9523,7.60627e+06,0.186704,0.0112351,0.297458,0.00481885,-0.224464,0.369,0.0909,nan,nan,nan,nan,-0.0146205,-0.0485718,-0.0108476,nan,-0.14746,0,-0.0194043,-0.290103,nan,0.00676537,0.0446667,-0.004,0.841667
620,25.8272,462,0.0574153,0,0.0416667,0.1455,1.19163,0.238374,-0.011339,4.37087,8.88889e-05,0.0125221,0.348322,14382.7,0.575957,0.2784,-0.2,0.05,17.8081,7.61856e+06,0.119122,0.0157737,0.370867,0.00578455,-0.287492,0.462,0.1248,nan,nan,nan,nan,-0.0192867,-0.0717189,-0.0128098,nan,-0.182938,0,-0.0227975,-0.293856,nan,0.00690999,0.052,0,1.025
621,27.8956,480.333,0.0627649,0,0.125,0.148153,1.16857,0.241358,-0.00942109,4.37047,8.88889e-05,0.00848806,0.348238,13906.4,0.524872,0.35875,-0.2,0.05,18.6931,7.63085e+06,0.178761,0.0199274,0.382482,0.00730308,-0.298969,0.480333,0.119,nan,nan,nan,nan,-0.0210077,-0.0732852,-0.0135755,nan,-0.191613,-0.000333333,-0.0239364,-0.362942,nan,0.00946806,0.0573333,-0.00333333,1.12917
