iteration,Train/mean_reward,Train/mean_episode_length,Train/mean_step_reward,Episode_Termination/time_out,Episode_Termination/fell_over,Metrics/twist/error_vel_xy,Metrics/twist/error_vel_yaw,Loss/value,Loss/surrogate,Loss/entropy,Loss/learning_rate,Loss/kl,Policy/mean_std,Perf/total_fps,Perf/collection_time,Perf/learning_time,Curriculum/action_rate_weight,Curriculum/standing_envs,time_s,env_steps,Episode_Reward/track_linear_velocity,Episode_Reward/track_angular_velocity,Episode_Reward/upright,Episode_Reward/pose,Episode_Reward/action_rate_l2,Episode_Reward/alive,Episode_Reward/air_time,Episode_Reward/single_stance,Episode_Reward/foot_lift,Episode_Reward/foot_alternation,Episode_Reward/foot_symmetry,Episode_Reward/foot_clearance,Episode_Reward/foot_swing_height,Episode_Reward/foot_slip,Episode_Reward/trot,Episode_Reward/joint_torque,Episode_Reward/self_collisions,Episode_Reward/dof_pos_limits,Episode_Reward/body_ang_vel,Episode_Reward/angular_momentum
13,0.995155,87.1545,0.0116979,0,5.125,0.353463,2.40514,0.0314851,-0.0152246,2.61053,8.77915e-05,0.0209597,0.300671,6228.46,0.963542,1.00934,-0.1,0.02,24.8365,159744,0.00896522,0.00228393,0.0408549,0.012389,-0.0204941,nan,0.175012,nan,nan,nan,nan,-0.00532699,-0.0187559,-0.00478316,0.00288618,-0.0354829,-0.000463415,-0.000896843,-0.10643,nan
14,0.730684,77.8261,0.0116549,0,4.79167,0.354251,2.34062,0.0285335,-0.0140759,2.60044,8.77915e-05,0.0148151,0.300551,7193.79,0.826453,0.881687,-0.1,0.02,26.5467,172032,0.00761446,0.00250852,0.0362569,0.010056,-0.018364,nan,0.14627,nan,nan,nan,nan,-0.00454158,-0.0148652,-0.0039744,0.00275652,-0.0316567,-0.000686957,-0.000824553,-0.0940144,nan
15,1.07514,93.6559,0.0132299,0,3.875,0.35864,2.36685,0.0317966,-0.0135242,2.59652,8.77915e-05,0.018653,0.300462,6814.05,0.90199,0.901344,-0.1,0.02,28.352,184320,0.00998313,0.00275627,0.0456889,0.0127753,-0.021983,nan,0.18121,nan,nan,nan,nan,-0.00536903,-0.0197237,-0.00524583,0.00345161,-0.037992,-0.000569892,-0.000913204,-0.110311,nan
16,1.20252,98.7453,0.0134251,0,4.41667,0.353439,2.34755,0.0319161,-0.0133719,2.59069,8.77915e-05,0.0145528,0.300239,7018.45,0.965372,0.785441,-0.1,0.02,30.105,196608,0.00872105,0.00286976,0.0488168,0.01354,-0.0234743,nan,0.192524,nan,nan,nan,nan,-0.00562794,-0.0203291,-0.00568979,0.00389151,-0.040119,-0.000339623,-0.0010199,-0.113637,nan
17,1.42179,110.989,0.0133431,0,3.75,0.349411,2.36253,0.0365555,-0.0120649,2.58067,5.85277e-05,0.0218338,0.3,7097.13,1.0317,0.699708,-0.1,0.02,31.8381,208896,0.0103643,0.00346717,0.055282,0.0153301,-0.0258842,nan,0.22055,nan,nan,nan,nan,-0.00637368,-0.0247503,-0.00644514,0.00427778,-0.0451559,-0.000522222,-0.00103695,-0.128014,nan
18,1.52938,115.493,0.0140007,0,2.95833,0.345073,2.35681,0.032541,-0.0122343,2.57325,3.90184e-05,0.0203436,0.29986,6509.98,1.0403,0.847262,-0.1,0.02,33.7279,221184,0.0116878,0.00325989,0.0595274,0.0159778,-0.0270424,nan,0.228444,nan,nan,nan,nan,-0.00646596,-0.0245922,-0.00652855,0.00443662,-0.0469854,-0.000676056,-0.00117139,-0.133403,nan
19,1.28898,105.246,0.0141993,0,2.375,0.344525,2.33052,0.0352058,-0.00990093,2.56856,3.90184e-05,0.0138307,0.299785,7373.44,0.964805,0.701718,-0.1,0.02,35.3961,233472,0.0107029,0.00313105,0.0533858,0.0138979,-0.0244991,nan,0.203605,nan,nan,nan,nan,-0.00594247,-0.0219204,-0.00565047,0.00372807,-0.0427207,-0.000368421,-0.00098558,-0.121915,nan
20,1.25022,115.678,0.014156,0,2.45833,0.344504,2.33894,0.030168,-0.0106089,2.5658,3.90184e-05,0.0156764,0.299719,7202.04,0.903232,0.802952,-0.1,0.02,37.1042,245760,0.0114454,0.00385486,0.0601544,0.0151183,-0.0270525,nan,0.21,nan,nan,nan,nan,-0.00602038,-0.0238662,-0.00615803,0.00420339,-0.0468894,-6.77966e-05,-0.00112137,-0.13109,nan
21,1.66552,122.457,0.0151039,0,2.91667,0.349647,2.32725,0.0307168,-0.0109422,2.56382,3.90184e-05,0.0142046,0.299701,6769.37,1.01594,0.799299,-0.1,0.02,38.9218,258048,0.0129087,0.00385553,0.0651687,0.0159664,-0.0285235,nan,0.234321,nan,nan,nan,nan,-0.00660484,-0.0254005,-0.0066255,0.00452857,-0.0497084,-0.000314286,-0.00113084,-0.135166,nan
22,2.09171,145.775,0.0153396,0,1.66667,0.346389,2.31317,0.0308126,-0.0106942,2.56242,3.90184e-05,0.0185016,0.299634,8381.8,0.803748,0.662286,-0.1,0.02,40.3897,270336,0.0152729,0.00456733,0.0775737,0.0198433,-0.0338554,nan,0.280612,nan,nan,nan,nan,-0.00774975,-0.0307004,-0.00881459,0.0057,-0.0590952,-0.00025,-0.00144287,-0.157076,nan
